year,ssp,Nt,GCM,counts
1850.0,ssp585,Nt25,gfdl-esm4,229609259.999694
1851.0,ssp585,Nt25,gfdl-esm4,232818162.13140965
1852.0,ssp585,Nt25,gfdl-esm4,234938178.98470303
1853.0,ssp585,Nt25,gfdl-esm4,239492508.08015355
1854.0,ssp585,Nt25,gfdl-esm4,229865760.1700564
1855.0,ssp585,Nt25,gfdl-esm4,237649070.50574628
1856.0,ssp585,Nt25,gfdl-esm4,242412598.45019627
1857.0,ssp585,Nt25,gfdl-esm4,243143229.36441845
1858.0,ssp585,Nt25,gfdl-esm4,240914327.3936057
1859.0,ssp585,Nt25,gfdl-esm4,242288898.33000785
1860.0,ssp585,Nt25,gfdl-esm4,243791279.6812749
1861.0,ssp585,Nt25,gfdl-esm4,246376739.99390304
1862.0,ssp585,Nt25,gfdl-esm4,250218351.01734707
1863.0,ssp585,Nt25,gfdl-esm4,251280375.14527377
1864.0,ssp585,Nt25,gfdl-esm4,249354642.36286587
1865.0,ssp585,Nt25,gfdl-esm4,248277869.18467137
1866.0,ssp585,Nt25,gfdl-esm4,243789082.65971848
1867.0,ssp585,Nt25,gfdl-esm4,244924935.00897688
1868.0,ssp585,Nt25,gfdl-esm4,247276804.72867295
1869.0,ssp585,Nt25,gfdl-esm4,247185384.99230945
1870.0,ssp585,Nt25,gfdl-esm4,254436478.95618105
1871.0,ssp585,Nt25,gfdl-esm4,258407030.17710263
1872.0,ssp585,Nt25,gfdl-esm4,259267255.21261925
1873.0,ssp585,Nt25,gfdl-esm4,259132275.28130537
1874.0,ssp585,Nt25,gfdl-esm4,264060397.3952556
1875.0,ssp585,Nt25,gfdl-esm4,265559981.36761284
1876.0,ssp585,Nt25,gfdl-esm4,267727617.47231755
1877.0,ssp585,Nt25,gfdl-esm4,262165324.4087093
1878.0,ssp585,Nt25,gfdl-esm4,265698968.92339057
1879.0,ssp585,Nt25,gfdl-esm4,274129400.44732064
1880.0,ssp585,Nt25,gfdl-esm4,276817618.6516893
1881.0,ssp585,Nt25,gfdl-esm4,280050174.3364972
1882.0,ssp585,Nt25,gfdl-esm4,286758113.58865386
1883.0,ssp585,Nt25,gfdl-esm4,298109954.3321929
1884.0,ssp585,Nt25,gfdl-esm4,308392949.7148361
1885.0,ssp585,Nt25,gfdl-esm4,315672166.56888634
