year,ssp,Nt,GCM,counts
1850.0,picontrol,Nt25,gfdl-esm4,222276236.15526065
1851.0,picontrol,Nt25,gfdl-esm4,224269363.78230107
1852.0,picontrol,Nt25,gfdl-esm4,222772655.66837752
1853.0,picontrol,Nt25,gfdl-esm4,223046425.8744827
1854.0,picontrol,Nt25,gfdl-esm4,224688317.4537925
1855.0,picontrol,Nt25,gfdl-esm4,221616309.20996556
1856.0,picontrol,Nt25,gfdl-esm4,219299456.10899636
1857.0,picontrol,Nt25,gfdl-esm4,216388089.2240428
1858.0,picontrol,Nt25,gfdl-esm4,219930899.59872997
1859.0,picontrol,Nt25,gfdl-esm4,218929133.6075917
1860.0,picontrol,Nt25,gfdl-esm4,219140946.94534948
1861.0,picontrol,Nt25,gfdl-esm4,218133781.12517083
1862.0,picontrol,Nt25,gfdl-esm4,214642049.53467023
1863.0,picontrol,Nt25,gfdl-esm4,210977632.09346908
1864.0,picontrol,Nt25,gfdl-esm4,211260374.45690364
1865.0,picontrol,Nt25,gfdl-esm4,211601637.90861648
1866.0,picontrol,Nt25,gfdl-esm4,210877473.9340264
1867.0,picontrol,Nt25,gfdl-esm4,206496342.86277983
1868.0,picontrol,Nt25,gfdl-esm4,208118703.4050505
1869.0,picontrol,Nt25,gfdl-esm4,206620869.66446516
1870.0,picontrol,Nt25,gfdl-esm4,205291824.44130215
1871.0,picontrol,Nt25,gfdl-esm4,202446686.50639552
1872.0,picontrol,Nt25,gfdl-esm4,203620850.47294104
1873.0,picontrol,Nt25,gfdl-esm4,201882785.3706637
1874.0,picontrol,Nt25,gfdl-esm4,200122747.17107707
1875.0,picontrol,Nt25,gfdl-esm4,196891325.9148832
1876.0,picontrol,Nt25,gfdl-esm4,198646521.56188643
1877.0,picontrol,Nt25,gfdl-esm4,198750810.64891028
1878.0,picontrol,Nt25,gfdl-esm4,195559705.6593552
1879.0,picontrol,Nt25,gfdl-esm4,193711953.1454708
1880.0,picontrol,Nt25,gfdl-esm4,189744133.1724756
