year,ssp,Nt,GCM,counts
1850.0,ssp585,Nt25,gfdl-esm4,
1851.0,ssp585,Nt25,gfdl-esm4,
1852.0,ssp585,Nt25,gfdl-esm4,
1853.0,ssp585,Nt25,gfdl-esm4,
1854.0,ssp585,Nt25,gfdl-esm4,
1855.0,ssp585,Nt25,gfdl-esm4,
1856.0,ssp585,Nt25,gfdl-esm4,
1857.0,ssp585,Nt25,gfdl-esm4,
1858.0,ssp585,Nt25,gfdl-esm4,
1859.0,ssp585,Nt25,gfdl-esm4,
1860.0,ssp585,Nt25,gfdl-esm4,
1861.0,ssp585,Nt25,gfdl-esm4,
1862.0,ssp585,Nt25,gfdl-esm4,
1863.0,ssp585,Nt25,gfdl-esm4,
1864.0,ssp585,Nt25,gfdl-esm4,
1865.0,ssp585,Nt25,gfdl-esm4,
1866.0,ssp585,Nt25,gfdl-esm4,
1867.0,ssp585,Nt25,gfdl-esm4,
1868.0,ssp585,Nt25,gfdl-esm4,
1869.0,ssp585,Nt25,gfdl-esm4,
1870.0,ssp585,Nt25,gfdl-esm4,
1871.0,ssp585,Nt25,gfdl-esm4,
1872.0,ssp585,Nt25,gfdl-esm4,
1873.0,ssp585,Nt25,gfdl-esm4,
1874.0,ssp585,Nt25,gfdl-esm4,
1875.0,ssp585,Nt25,gfdl-esm4,
1876.0,ssp585,Nt25,gfdl-esm4,
1877.0,ssp585,Nt25,gfdl-esm4,
1878.0,ssp585,Nt25,gfdl-esm4,
1879.0,ssp585,Nt25,gfdl-esm4,
1880.0,ssp585,Nt25,gfdl-esm4,
1881.0,ssp585,Nt25,gfdl-esm4,
1882.0,ssp585,Nt25,gfdl-esm4,
1883.0,ssp585,Nt25,gfdl-esm4,
1884.0,ssp585,Nt25,gfdl-esm4,
1885.0,ssp585,Nt25,gfdl-esm4,
1886.0,ssp585,Nt25,gfdl-esm4,
1887.0,ssp585,Nt25,gfdl-esm4,
1888.0,ssp585,Nt25,gfdl-esm4,
1889.0,ssp585,Nt25,gfdl-esm4,
1890.0,ssp585,Nt25,gfdl-esm4,
1891.0,ssp585,Nt25,gfdl-esm4,
1892.0,ssp585,Nt25,gfdl-esm4,
1893.0,ssp585,Nt25,gfdl-esm4,
1894.0,ssp585,Nt25,gfdl-esm4,
1895.0,ssp585,Nt25,gfdl-esm4,
1896.0,ssp585,Nt25,gfdl-esm4,
1897.0,ssp585,Nt25,gfdl-esm4,
1898.0,ssp585,Nt25,gfdl-esm4,
1899.0,ssp585,Nt25,gfdl-esm4,
1900.0,ssp585,Nt25,gfdl-esm4,
1901.0,ssp585,Nt25,gfdl-esm4,
1902.0,ssp585,Nt25,gfdl-esm4,
1903.0,ssp585,Nt25,gfdl-esm4,
1904.0,ssp585,Nt25,gfdl-esm4,
1905.0,ssp585,Nt25,gfdl-esm4,
1906.0,ssp585,Nt25,gfdl-esm4,
1907.0,ssp585,Nt25,gfdl-esm4,
1908.0,ssp585,Nt25,gfdl-esm4,
1909.0,ssp585,Nt25,gfdl-esm4,
1910.0,ssp585,Nt25,gfdl-esm4,
1911.0,ssp585,Nt25,gfdl-esm4,
1912.0,ssp585,Nt25,gfdl-esm4,
1913.0,ssp585,Nt25,gfdl-esm4,
1914.0,ssp585,Nt25,gfdl-esm4,
1915.0,ssp585,Nt25,gfdl-esm4,
1916.0,ssp585,Nt25,gfdl-esm4,
1917.0,ssp585,Nt25,gfdl-esm4,
1918.0,ssp585,Nt25,gfdl-esm4,
