year,ssp,Nt,GCM,counts
1850.0,picontrol,Nt25,ipsl-cm6a-lr,166779670.59460753
1851.0,picontrol,Nt25,ipsl-cm6a-lr,167823051.0651
1852.0,picontrol,Nt25,ipsl-cm6a-lr,163911799.1770435
1853.0,picontrol,Nt25,ipsl-cm6a-lr,165130844.12648404
1854.0,picontrol,Nt25,ipsl-cm6a-lr,169015967.3726306
1855.0,picontrol,Nt25,ipsl-cm6a-lr,171525697.60323858
1856.0,picontrol,Nt25,ipsl-cm6a-lr,172171342.56181914
1857.0,picontrol,Nt25,ipsl-cm6a-lr,173313901.600295
1858.0,picontrol,Nt25,ipsl-cm6a-lr,174280443.01796126
1859.0,picontrol,Nt25,ipsl-cm6a-lr,175358032.32972574
1860.0,picontrol,Nt25,ipsl-cm6a-lr,181622472.7746486
1861.0,picontrol,Nt25,ipsl-cm6a-lr,178488588.05047968
1862.0,picontrol,Nt25,ipsl-cm6a-lr,176604085.56999555
1863.0,picontrol,Nt25,ipsl-cm6a-lr,175681751.3092022
1864.0,picontrol,Nt25,ipsl-cm6a-lr,173535730.41246012
1865.0,picontrol,Nt25,ipsl-cm6a-lr,174360922.57136023
1866.0,picontrol,Nt25,ipsl-cm6a-lr,175480334.4956615
1867.0,picontrol,Nt25,ipsl-cm6a-lr,176212243.07605183
1868.0,picontrol,Nt25,ipsl-cm6a-lr,175281469.40286377
1869.0,picontrol,Nt25,ipsl-cm6a-lr,179034258.58546358
1870.0,picontrol,Nt25,ipsl-cm6a-lr,174130099.90634242
1871.0,picontrol,Nt25,ipsl-cm6a-lr,164133433.49330825
1872.0,picontrol,Nt25,ipsl-cm6a-lr,163472192.43234718
1873.0,picontrol,Nt25,ipsl-cm6a-lr,162912918.6454254
1874.0,picontrol,Nt25,ipsl-cm6a-lr,163576283.249403
1875.0,picontrol,Nt25,ipsl-cm6a-lr,163714892.4507083
1876.0,picontrol,Nt25,ipsl-cm6a-lr,166929891.08378726
1877.0,picontrol,Nt25,ipsl-cm6a-lr,171111080.033512
1878.0,picontrol,Nt25,ipsl-cm6a-lr,165567808.24987867
1879.0,picontrol,Nt25,ipsl-cm6a-lr,165074261.88144207
1880.0,picontrol,Nt25,ipsl-cm6a-lr,168283993.6020961
1881.0,picontrol,Nt25,ipsl-cm6a-lr,169583314.11416426
1882.0,picontrol,Nt25,ipsl-cm6a-lr,175405488.3505311
1883.0,picontrol,Nt25,ipsl-cm6a-lr,183237127.2728961
1884.0,picontrol,Nt25,ipsl-cm6a-lr,179051038.58965603
1885.0,picontrol,Nt25,ipsl-cm6a-lr,179178026.77568334
1886.0,picontrol,Nt25,ipsl-cm6a-lr,180641181.05194172
1887.0,picontrol,Nt25,ipsl-cm6a-lr,181266783.90102088
1888.0,picontrol,Nt25,ipsl-cm6a-lr,183808068.26365492
1889.0,picontrol,Nt25,ipsl-cm6a-lr,190325218.68963256
1890.0,picontrol,Nt25,ipsl-cm6a-lr,191326606.0051058
1891.0,picontrol,Nt25,ipsl-cm6a-lr,186681509.7236609
1892.0,picontrol,Nt25,ipsl-cm6a-lr,186348749.5428981
1893.0,picontrol,Nt25,ipsl-cm6a-lr,187534147.74365932
1894.0,picontrol,Nt25,ipsl-cm6a-lr,187432055.03306583
