year,ssp,Nt,GCM,counts
1850.0,ssp585,Nt25,ipsl-cm6a-lr,224524055.44278815
1851.0,ssp585,Nt25,ipsl-cm6a-lr,224414957.2056225
1852.0,ssp585,Nt25,ipsl-cm6a-lr,223717530.81580356
1853.0,ssp585,Nt25,ipsl-cm6a-lr,217223999.5924675
1854.0,ssp585,Nt25,ipsl-cm6a-lr,212787420.6276873
1855.0,ssp585,Nt25,ipsl-cm6a-lr,212473740.9698761
1856.0,ssp585,Nt25,ipsl-cm6a-lr,209263586.06094843
1857.0,ssp585,Nt25,ipsl-cm6a-lr,209047156.06137428
1858.0,ssp585,Nt25,ipsl-cm6a-lr,206674224.9974873
1859.0,ssp585,Nt25,ipsl-cm6a-lr,207014378.9731393
1860.0,ssp585,Nt25,ipsl-cm6a-lr,206654165.1165622
1861.0,ssp585,Nt25,ipsl-cm6a-lr,206994762.92226255
1862.0,ssp585,Nt25,ipsl-cm6a-lr,206290413.71676168
1863.0,ssp585,Nt25,ipsl-cm6a-lr,211718467.90126425
1864.0,ssp585,Nt25,ipsl-cm6a-lr,212460761.36515027
1865.0,ssp585,Nt25,ipsl-cm6a-lr,212511560.5606517
1866.0,ssp585,Nt25,ipsl-cm6a-lr,218734190.8072416
1867.0,ssp585,Nt25,ipsl-cm6a-lr,225483730.9783945
1868.0,ssp585,Nt25,ipsl-cm6a-lr,227416274.2992265
1869.0,ssp585,Nt25,ipsl-cm6a-lr,229727825.7009778
1870.0,ssp585,Nt25,ipsl-cm6a-lr,230960268.7693424
1871.0,ssp585,Nt25,ipsl-cm6a-lr,234484453.1215848
1872.0,ssp585,Nt25,ipsl-cm6a-lr,230341606.16544804
1873.0,ssp585,Nt25,ipsl-cm6a-lr,226418804.68894404
1874.0,ssp585,Nt25,ipsl-cm6a-lr,220297938.3298079
1875.0,ssp585,Nt25,ipsl-cm6a-lr,220044748.57134745
1876.0,ssp585,Nt25,ipsl-cm6a-lr,221292419.27614
1877.0,ssp585,Nt25,ipsl-cm6a-lr,222107807.28812256
1878.0,ssp585,Nt25,ipsl-cm6a-lr,220235970.1367444
1879.0,ssp585,Nt25,ipsl-cm6a-lr,220135750.8700011
1880.0,ssp585,Nt25,ipsl-cm6a-lr,229765647.4128518
1881.0,ssp585,Nt25,ipsl-cm6a-lr,229671762.86955568
1882.0,ssp585,Nt25,ipsl-cm6a-lr,225689862.4016606
1883.0,ssp585,Nt25,ipsl-cm6a-lr,226349616.59556225
1884.0,ssp585,Nt25,ipsl-cm6a-lr,238688823.90470356
1885.0,ssp585,Nt25,ipsl-cm6a-lr,252863287.8655417
1886.0,ssp585,Nt25,ipsl-cm6a-lr,256329942.57054752
1887.0,ssp585,Nt25,ipsl-cm6a-lr,257696264.56826127
1888.0,ssp585,Nt25,ipsl-cm6a-lr,261317641.49332735
1889.0,ssp585,Nt25,ipsl-cm6a-lr,262807629.09283805
1890.0,ssp585,Nt25,ipsl-cm6a-lr,264272608.7264284
1891.0,ssp585,Nt25,ipsl-cm6a-lr,264304449.95660487
1892.0,ssp585,Nt25,ipsl-cm6a-lr,271214716.2249024
1893.0,ssp585,Nt25,ipsl-cm6a-lr,283137497.0523629
1894.0,ssp585,Nt25,ipsl-cm6a-lr,292048982.2058044
1895.0,ssp585,Nt25,ipsl-cm6a-lr,293164101.6675932
1896.0,ssp585,Nt25,ipsl-cm6a-lr,299984368.4580473
1897.0,ssp585,Nt25,ipsl-cm6a-lr,307131716.7682525
1898.0,ssp585,Nt25,ipsl-cm6a-lr,307186736.07181144
1899.0,ssp585,Nt25,ipsl-cm6a-lr,310875631.8434752
1900.0,ssp585,Nt25,ipsl-cm6a-lr,313570192.9959862
1901.0,ssp585,Nt25,ipsl-cm6a-lr,315105541.23465973
1902.0,ssp585,Nt25,ipsl-cm6a-lr,318180006.34425294
1903.0,ssp585,Nt25,ipsl-cm6a-lr,333591791.5672934
1904.0,ssp585,Nt25,ipsl-cm6a-lr,342408823.95784014
1905.0,ssp585,Nt25,ipsl-cm6a-lr,347353929.44671
1906.0,ssp585,Nt25,ipsl-cm6a-lr,351562126.8190923
1907.0,ssp585,Nt25,ipsl-cm6a-lr,357553224.6999976
1908.0,ssp585,Nt25,ipsl-cm6a-lr,371488719.61708784
1909.0,ssp585,Nt25,ipsl-cm6a-lr,383885204.1108594
1910.0,ssp585,Nt25,ipsl-cm6a-lr,386131810.001889
1911.0,ssp585,Nt25,ipsl-cm6a-lr,395579969.286108
1912.0,ssp585,Nt25,ipsl-cm6a-lr,402179544.02662975
1913.0,ssp585,Nt25,ipsl-cm6a-lr,420515445.6335277
1914.0,ssp585,Nt25,ipsl-cm6a-lr,427080379.0852302
1915.0,ssp585,Nt25,ipsl-cm6a-lr,431256957.73574615
1916.0,ssp585,Nt25,ipsl-cm6a-lr,430199769.9966828
1917.0,ssp585,Nt25,ipsl-cm6a-lr,420938209.8707473
1918.0,ssp585,Nt25,ipsl-cm6a-lr,428561810.35538673
1919.0,ssp585,Nt25,ipsl-cm6a-lr,434095014.10988617
1920.0,ssp585,Nt25,ipsl-cm6a-lr,442755790.57283735
1921.0,ssp585,Nt25,ipsl-cm6a-lr,438987091.25501513
1922.0,ssp585,Nt25,ipsl-cm6a-lr,442037233.43243474
1923.0,ssp585,Nt25,ipsl-cm6a-lr,454526885.8879552
1924.0,ssp585,Nt25,ipsl-cm6a-lr,478520842.9915325
1925.0,ssp585,Nt25,ipsl-cm6a-lr,484723695.8499645
1926.0,ssp585,Nt25,ipsl-cm6a-lr,489772648.7784003
1927.0,ssp585,Nt25,ipsl-cm6a-lr,500634786.8511491
1928.0,ssp585,Nt25,ipsl-cm6a-lr,506740706.9731732
1929.0,ssp585,Nt25,ipsl-cm6a-lr,512211689.54284
1930.0,ssp585,Nt25,ipsl-cm6a-lr,512621415.4770219
1931.0,ssp585,Nt25,ipsl-cm6a-lr,530026851.69086623
1932.0,ssp585,Nt25,ipsl-cm6a-lr,546341714.7295651
1933.0,ssp585,Nt25,ipsl-cm6a-lr,551477283.2586973
1934.0,ssp585,Nt25,ipsl-cm6a-lr,542760427.4763467
1935.0,ssp585,Nt25,ipsl-cm6a-lr,535803995.6485089
1936.0,ssp585,Nt25,ipsl-cm6a-lr,538598682.2006415
1937.0,ssp585,Nt25,ipsl-cm6a-lr,545718895.8003391
1938.0,ssp585,Nt25,ipsl-cm6a-lr,560544289.1617085
1939.0,ssp585,Nt25,ipsl-cm6a-lr,594601120.6438385
1940.0,ssp585,Nt25,ipsl-cm6a-lr,633700107.8529894
1941.0,ssp585,Nt25,ipsl-cm6a-lr,649877923.405868
1942.0,ssp585,Nt25,ipsl-cm6a-lr,650278293.5212772
1943.0,ssp585,Nt25,ipsl-cm6a-lr,641639934.3211128
1944.0,ssp585,Nt25,ipsl-cm6a-lr,648438886.4037158
1945.0,ssp585,Nt25,ipsl-cm6a-lr,665564460.8109714
1946.0,ssp585,Nt25,ipsl-cm6a-lr,678365898.3347082
1947.0,ssp585,Nt25,ipsl-cm6a-lr,696218288.3276927
