year,ssp,Nt,counts
1850.0,picontrol,Nt25,183202857.20817447
1851.0,picontrol,Nt25,181007069.2153423
1852.0,picontrol,Nt25,185496823.49569595
1853.0,picontrol,Nt25,187636774.14000037
1854.0,picontrol,Nt25,191529477.2753711
1855.0,picontrol,Nt25,189327127.1930785
1856.0,picontrol,Nt25,191663215.92052293
1857.0,picontrol,Nt25,190342103.07948232
1858.0,picontrol,Nt25,189974020.6502235
1859.0,picontrol,Nt25,188504181.0567523
1860.0,picontrol,Nt25,191951493.1622756
1861.0,picontrol,Nt25,197689996.672533
1862.0,picontrol,Nt25,198492446.7609154
1863.0,picontrol,Nt25,199186781.49727803
1864.0,picontrol,Nt25,200241218.81380475
1865.0,picontrol,Nt25,201105761.4674322
1866.0,picontrol,Nt25,202829768.5635802
1867.0,picontrol,Nt25,206496342.86277983
1868.0,picontrol,Nt25,208118703.4050505
1869.0,picontrol,Nt25,206620869.66446516
1870.0,picontrol,Nt25,205291824.44130215
1871.0,picontrol,Nt25,202446686.50639552
1872.0,picontrol,Nt25,203620850.47294104
1873.0,picontrol,Nt25,201882785.3706637
1874.0,picontrol,Nt25,200122747.17107707
1875.0,picontrol,Nt25,196891325.9148832
1876.0,picontrol,Nt25,198646521.56188643
1877.0,picontrol,Nt25,198750810.64891028
1878.0,picontrol,Nt25,195559705.6593552
1879.0,picontrol,Nt25,200238790.689438
1880.0,picontrol,Nt25,204345270.48530576
1881.0,picontrol,Nt25,203092807.1148477
1882.0,picontrol,Nt25,207451853.29131
1883.0,picontrol,Nt25,208327309.1420897
1884.0,picontrol,Nt25,210503662.7113272
1885.0,picontrol,Nt25,208807810.89058796
1886.0,picontrol,Nt25,212987315.85323715
1887.0,picontrol,Nt25,209894549.32264227
1888.0,picontrol,Nt25,205098430.7360692
1889.0,picontrol,Nt25,205836713.11477396
1890.0,picontrol,Nt25,205374857.10603255
1891.0,picontrol,Nt25,208618141.4621547
1892.0,picontrol,Nt25,209739244.56841385
1893.0,picontrol,Nt25,205309619.09804472
1894.0,picontrol,Nt25,202712055.91275436
1895.0,picontrol,Nt25,204215136.8426339
1896.0,picontrol,Nt25,203985195.83021125
1897.0,picontrol,Nt25,209132590.396227
1898.0,picontrol,Nt25,208903144.37232715
1899.0,picontrol,Nt25,210690170.7202221
1900.0,picontrol,Nt25,211078534.4981192
1901.0,picontrol,Nt25,211034596.70257384
1902.0,picontrol,Nt25,210040546.2610668
1903.0,picontrol,Nt25,208118520.9843217
1904.0,picontrol,Nt25,214334710.45498383
1905.0,picontrol,Nt25,213634419.3912713
1906.0,picontrol,Nt25,214024778.13286668
1907.0,picontrol,Nt25,218791954.509682
1908.0,picontrol,Nt25,220193999.49444044
1909.0,picontrol,Nt25,222296677.79321823
1910.0,picontrol,Nt25,218860205.19537967
1911.0,picontrol,Nt25,208710691.01163232
1912.0,picontrol,Nt25,207932897.6076187
1913.0,picontrol,Nt25,206408185.74298692
1914.0,picontrol,Nt25,205377964.45930347
1915.0,picontrol,Nt25,205725974.28452823
1916.0,picontrol,Nt25,205461047.2804209
1917.0,picontrol,Nt25,207014534.8073979
1918.0,picontrol,Nt25,213722407.8002613
1919.0,picontrol,Nt25,214234422.2875909
1920.0,picontrol,Nt25,211456265.95468056
1921.0,picontrol,Nt25,214998164.95129865
1922.0,picontrol,Nt25,215251348.1976583
1923.0,picontrol,Nt25,215543951.25697252
1924.0,picontrol,Nt25,214500128.87778884
1925.0,picontrol,Nt25,214046465.82254112
1926.0,picontrol,Nt25,211706178.80165783
1927.0,picontrol,Nt25,209638080.05588183
1928.0,picontrol,Nt25,213011557.17994335
1929.0,picontrol,Nt25,217800186.7265185
1930.0,picontrol,Nt25,216004091.81460392
1931.0,picontrol,Nt25,216312942.82437843
1932.0,picontrol,Nt25,214895127.9190774
1933.0,picontrol,Nt25,211265998.26064605
1934.0,picontrol,Nt25,211743009.9228298
1935.0,picontrol,Nt25,208669807.4340562
1936.0,picontrol,Nt25,206713226.03953877
1937.0,picontrol,Nt25,206842305.79715323
1938.0,picontrol,Nt25,208895502.1974213
1939.0,picontrol,Nt25,211380312.10463983
1940.0,picontrol,Nt25,212773342.83509248
1941.0,picontrol,Nt25,210485629.8120306
1942.0,picontrol,Nt25,211877199.06933457
1943.0,picontrol,Nt25,211925180.6605121
1944.0,picontrol,Nt25,212200424.2716625
1945.0,picontrol,Nt25,211514912.8599144
1946.0,picontrol,Nt25,210664479.6618018
1947.0,picontrol,Nt25,207279538.30375332
1948.0,picontrol,Nt25,209880346.9347142
1949.0,picontrol,Nt25,212631750.97603676
1950.0,picontrol,Nt25,219240818.8558105
1951.0,picontrol,Nt25,221338870.82033247
1952.0,picontrol,Nt25,221794688.83757907
1953.0,picontrol,Nt25,216084925.35660684
1954.0,picontrol,Nt25,215728227.62046167
1955.0,picontrol,Nt25,220506406.9157319
1956.0,picontrol,Nt25,220653615.92315283
1957.0,picontrol,Nt25,214554895.20177084
1958.0,picontrol,Nt25,211924251.35131
1959.0,picontrol,Nt25,211375560.5965437
1960.0,picontrol,Nt25,212799248.36690155
1961.0,picontrol,Nt25,213597280.00767493
1962.0,picontrol,Nt25,217801554.20006803
1963.0,picontrol,Nt25,219647044.9893291
1964.0,picontrol,Nt25,221268646.4504724
1965.0,picontrol,Nt25,222527399.2350714
1966.0,picontrol,Nt25,223460982.14228877
1967.0,picontrol,Nt25,225362205.03710824
1968.0,picontrol,Nt25,220433561.36631608
1969.0,picontrol,Nt25,222566246.9857557
1970.0,picontrol,Nt25,222357809.34445336
1971.0,picontrol,Nt25,222829887.42271608
1972.0,picontrol,Nt25,221362053.94347864
1973.0,picontrol,Nt25,223029066.48222053
1974.0,picontrol,Nt25,222722416.35555103
1975.0,picontrol,Nt25,221801771.2405584
1976.0,picontrol,Nt25,217694068.66001332
1977.0,picontrol,Nt25,215113072.4228279
1978.0,picontrol,Nt25,216312398.1448612
1979.0,picontrol,Nt25,218994503.6082794
1980.0,picontrol,Nt25,217447503.5523428
1981.0,picontrol,Nt25,217038158.2705633
1982.0,picontrol,Nt25,211370618.3904404
1983.0,picontrol,Nt25,214578364.3714984
1984.0,picontrol,Nt25,218535687.03659183
1985.0,picontrol,Nt25,218447201.05359745
1986.0,picontrol,Nt25,217598079.83001295
1987.0,picontrol,Nt25,219330281.35698387
1988.0,picontrol,Nt25,218528191.5880055
1989.0,picontrol,Nt25,216470010.49293855
1990.0,picontrol,Nt25,214614663.4280321
1991.0,picontrol,Nt25,215660795.10046223
1992.0,picontrol,Nt25,213165983.31816083
1993.0,picontrol,Nt25,216976817.1238771
1994.0,picontrol,Nt25,217163489.06795123
1995.0,picontrol,Nt25,219220506.33799616
1996.0,picontrol,Nt25,219016900.0923227
1997.0,picontrol,Nt25,218925167.6674901
1998.0,picontrol,Nt25,218981876.08523425
1999.0,picontrol,Nt25,215561007.5024461
2000.0,picontrol,Nt25,214134275.81034556
2001.0,picontrol,Nt25,211652297.08084613
2002.0,picontrol,Nt25,206277987.86528996
2003.0,picontrol,Nt25,204349224.9803684
2004.0,picontrol,Nt25,205372167.63300997
2005.0,picontrol,Nt25,204492408.80131435
2006.0,picontrol,Nt25,203418672.44593632
2007.0,picontrol,Nt25,204782840.86110583
2008.0,picontrol,Nt25,205845047.23503783
2009.0,picontrol,Nt25,204492384.76140445
2010.0,picontrol,Nt25,207562370.4418017
2011.0,picontrol,Nt25,208766748.7235639
2012.0,picontrol,Nt25,209885832.9087633
2013.0,picontrol,Nt25,213892378.9327604
2014.0,picontrol,Nt25,213585025.3238248
2015.0,picontrol,Nt25,213928996.1015713
2016.0,picontrol,Nt25,218342305.43573436
2017.0,picontrol,Nt25,216806702.56431052
2018.0,picontrol,Nt25,213035958.32714415
2019.0,picontrol,Nt25,211557526.32847357
2020.0,picontrol,Nt25,211785106.7338423
2021.0,picontrol,Nt25,209426827.0967017
2022.0,picontrol,Nt25,206468847.2100277
2023.0,picontrol,Nt25,202353925.7156729
2024.0,picontrol,Nt25,204525460.86070603
2025.0,picontrol,Nt25,203886549.18370795
2026.0,picontrol,Nt25,203821870.3367097
2027.0,picontrol,Nt25,207371231.60421216
2028.0,picontrol,Nt25,208590026.0048623
2029.0,picontrol,Nt25,208341187.6584487
2030.0,picontrol,Nt25,203824441.7156348
2031.0,picontrol,Nt25,200291822.26327476
2032.0,picontrol,Nt25,203832736.25373355
2033.0,picontrol,Nt25,206472603.6687829
2034.0,picontrol,Nt25,208244249.83969367
2035.0,picontrol,Nt25,208878298.48492563
2036.0,picontrol,Nt25,202242507.09855583
2037.0,picontrol,Nt25,201080441.65253592
2038.0,picontrol,Nt25,205402650.9367508
2039.0,picontrol,Nt25,204084579.9768181
2040.0,picontrol,Nt25,201354239.8098368
2041.0,picontrol,Nt25,199621240.07227367
2042.0,picontrol,Nt25,198844042.57135183
2043.0,picontrol,Nt25,196726651.55633757
2044.0,picontrol,Nt25,189912499.50164172
2045.0,picontrol,Nt25,190085765.92611736
2046.0,picontrol,Nt25,196300218.2660322
2047.0,picontrol,Nt25,199812633.3509532
2048.0,picontrol,Nt25,197515043.7192389
2049.0,picontrol,Nt25,197197522.0846371
2050.0,picontrol,Nt25,197283847.7120945
