year,ssp,Nt,counts
1850.0,ssp585,Nt25,226623281.6453705
1851.0,ssp585,Nt25,224414957.2056225
1852.0,ssp585,Nt25,223859115.46881485
1853.0,ssp585,Nt25,223866474.23266688
1854.0,ssp585,Nt25,222818441.5270913
1855.0,ssp585,Nt25,221852536.1246616
1856.0,ssp585,Nt25,223175603.20263055
1857.0,ssp585,Nt25,223885178.91573232
1858.0,ssp585,Nt25,224307472.0037988
1859.0,ssp585,Nt25,222205229.3261676
1860.0,ssp585,Nt25,223828198.6596303
1861.0,ssp585,Nt25,223892801.42246157
1862.0,ssp585,Nt25,222956771.8015089
1863.0,ssp585,Nt25,220786316.1687386
1864.0,ssp585,Nt25,220940766.5046774
1865.0,ssp585,Nt25,221974660.61561796
1866.0,ssp585,Nt25,222103789.0588973
1867.0,ssp585,Nt25,225483730.9783945
1868.0,ssp585,Nt25,227416274.2992265
1869.0,ssp585,Nt25,229727825.7009778
1870.0,ssp585,Nt25,230960268.7693424
1871.0,ssp585,Nt25,234484453.1215848
1872.0,ssp585,Nt25,230341606.16544804
1873.0,ssp585,Nt25,226418804.68894404
1874.0,ssp585,Nt25,220297938.3298079
1875.0,ssp585,Nt25,220044748.57134745
1876.0,ssp585,Nt25,221292419.27614
1877.0,ssp585,Nt25,222107807.28812256
1878.0,ssp585,Nt25,220235970.1367444
1879.0,ssp585,Nt25,220135750.8700011
1880.0,ssp585,Nt25,229765647.4128518
1881.0,ssp585,Nt25,229671762.86955568
1882.0,ssp585,Nt25,225689862.4016606
1883.0,ssp585,Nt25,226349616.59556225
1884.0,ssp585,Nt25,238688823.90470356
1885.0,ssp585,Nt25,252863287.8655417
1886.0,ssp585,Nt25,256329942.57054752
1887.0,ssp585,Nt25,257696264.56826127
1888.0,ssp585,Nt25,265993929.41747048
1889.0,ssp585,Nt25,270608617.2688446
1890.0,ssp585,Nt25,269691353.16405785
1891.0,ssp585,Nt25,271132995.95162845
1892.0,ssp585,Nt25,270470274.1772292
1893.0,ssp585,Nt25,274300209.19172275
1894.0,ssp585,Nt25,283180642.69610023
1895.0,ssp585,Nt25,291072377.6729287
1896.0,ssp585,Nt25,294043001.19654435
1897.0,ssp585,Nt25,295631752.5246906
1898.0,ssp585,Nt25,296333030.8912204
1899.0,ssp585,Nt25,306138987.322891
1900.0,ssp585,Nt25,311270918.9883673
1901.0,ssp585,Nt25,315105541.23465973
1902.0,ssp585,Nt25,318180006.34425294
1903.0,ssp585,Nt25,329765617.03290504
1904.0,ssp585,Nt25,337178556.16623247
1905.0,ssp585,Nt25,340285714.3558205
1906.0,ssp585,Nt25,339556815.3029235
1907.0,ssp585,Nt25,340865090.6155534
1908.0,ssp585,Nt25,343071089.0250939
1909.0,ssp585,Nt25,343466630.91015935
1910.0,ssp585,Nt25,343090359.13607675
1911.0,ssp585,Nt25,346057056.67351776
1912.0,ssp585,Nt25,355043990.11259496
1913.0,ssp585,Nt25,358828479.7268124
1914.0,ssp585,Nt25,359847861.8349372
1915.0,ssp585,Nt25,363358762.65360177
1916.0,ssp585,Nt25,374854029.3671924
1917.0,ssp585,Nt25,383336998.4328514
1918.0,ssp585,Nt25,382923155.1724325
1919.0,ssp585,Nt25,384248858.6840862
1920.0,ssp585,Nt25,386124251.4032084
1921.0,ssp585,Nt25,391943329.81083655
1922.0,ssp585,Nt25,399707392.4967101
1923.0,ssp585,Nt25,405436665.0535162
1924.0,ssp585,Nt25,408839299.5494696
1925.0,ssp585,Nt25,409807685.4371894
1926.0,ssp585,Nt25,407584511.1798064
1927.0,ssp585,Nt25,409062717.0998275
1928.0,ssp585,Nt25,409280568.6651871
1929.0,ssp585,Nt25,404215702.5079657
1930.0,ssp585,Nt25,400447230.4742052
1931.0,ssp585,Nt25,398597844.1278659
1932.0,ssp585,Nt25,397006537.49857765
1933.0,ssp585,Nt25,396935798.436282
1934.0,ssp585,Nt25,385811048.9163416
1935.0,ssp585,Nt25,387048289.5680105
1936.0,ssp585,Nt25,394411135.463066
1937.0,ssp585,Nt25,401615527.9699905
1938.0,ssp585,Nt25,405861971.4440872
1939.0,ssp585,Nt25,411500108.4982225
1940.0,ssp585,Nt25,420169803.7107252
1941.0,ssp585,Nt25,423944413.1159049
1942.0,ssp585,Nt25,436440164.4208536
1943.0,ssp585,Nt25,437789318.7188883
1944.0,ssp585,Nt25,440756042.5677416
1945.0,ssp585,Nt25,440512303.7599855
1946.0,ssp585,Nt25,449878694.2969161
1947.0,ssp585,Nt25,453166118.342667
1948.0,ssp585,Nt25,458162209.5340884
1949.0,ssp585,Nt25,463415940.8892475
1950.0,ssp585,Nt25,471272479.4412787
1951.0,ssp585,Nt25,481104040.5449234
1952.0,ssp585,Nt25,503547521.8808542
1953.0,ssp585,Nt25,516834309.52446645
1954.0,ssp585,Nt25,523683884.7620038
1955.0,ssp585,Nt25,538618408.5934923
1956.0,ssp585,Nt25,549303932.0014882
1957.0,ssp585,Nt25,566711216.8485461
1958.0,ssp585,Nt25,582059376.2562321
1959.0,ssp585,Nt25,602223200.1971314
1960.0,ssp585,Nt25,622481306.9366107
1961.0,ssp585,Nt25,639409499.9260001
