year,ssp,Nt,GCM,counts
1850.0,picontrol,Nt25,mpi-esm1-2-hr,183202857.20817447
1851.0,picontrol,Nt25,mpi-esm1-2-hr,178904846.7768098
1852.0,picontrol,Nt25,mpi-esm1-2-hr,170784562.8363839
1853.0,picontrol,Nt25,mpi-esm1-2-hr,162491001.18849367
1854.0,picontrol,Nt25,mpi-esm1-2-hr,162767988.32512307
1855.0,picontrol,Nt25,mpi-esm1-2-hr,162235014.05813202
1856.0,picontrol,Nt25,mpi-esm1-2-hr,161118769.9911575
1857.0,picontrol,Nt25,mpi-esm1-2-hr,159401321.21931478
1858.0,picontrol,Nt25,mpi-esm1-2-hr,159114032.55588362
1859.0,picontrol,Nt25,mpi-esm1-2-hr,161061412.84161192
1860.0,picontrol,Nt25,mpi-esm1-2-hr,160415007.34174913
1861.0,picontrol,Nt25,mpi-esm1-2-hr,161609987.46665847
1862.0,picontrol,Nt25,mpi-esm1-2-hr,160799429.38798958
1863.0,picontrol,Nt25,mpi-esm1-2-hr,159870886.25116444
1864.0,picontrol,Nt25,mpi-esm1-2-hr,160398957.20362717
1865.0,picontrol,Nt25,mpi-esm1-2-hr,163055303.1726182
1866.0,picontrol,Nt25,mpi-esm1-2-hr,165607194.4051385
1867.0,picontrol,Nt25,mpi-esm1-2-hr,165863093.58024496
1868.0,picontrol,Nt25,mpi-esm1-2-hr,168130660.19055247
1869.0,picontrol,Nt25,mpi-esm1-2-hr,170133634.08081672
1870.0,picontrol,Nt25,mpi-esm1-2-hr,168671156.58038774
1871.0,picontrol,Nt25,mpi-esm1-2-hr,166449893.1899944
1872.0,picontrol,Nt25,mpi-esm1-2-hr,175220850.7866655
1873.0,picontrol,Nt25,mpi-esm1-2-hr,179416808.23448378
1874.0,picontrol,Nt25,mpi-esm1-2-hr,181446060.129514
1875.0,picontrol,Nt25,mpi-esm1-2-hr,182172079.84866232
1876.0,picontrol,Nt25,mpi-esm1-2-hr,186623209.7839028
1877.0,picontrol,Nt25,mpi-esm1-2-hr,191284714.76172465
1878.0,picontrol,Nt25,mpi-esm1-2-hr,190977080.664472
1879.0,picontrol,Nt25,mpi-esm1-2-hr,200238790.689438
1880.0,picontrol,Nt25,mpi-esm1-2-hr,204345270.48530576
1881.0,picontrol,Nt25,mpi-esm1-2-hr,206447166.1776613
1882.0,picontrol,Nt25,mpi-esm1-2-hr,207579380.0541329
1883.0,picontrol,Nt25,mpi-esm1-2-hr,208327309.1420897
1884.0,picontrol,Nt25,mpi-esm1-2-hr,210503662.7113272
1885.0,picontrol,Nt25,mpi-esm1-2-hr,208807810.89058796
1886.0,picontrol,Nt25,mpi-esm1-2-hr,212987315.85323715
1887.0,picontrol,Nt25,mpi-esm1-2-hr,214272623.7449174
1888.0,picontrol,Nt25,mpi-esm1-2-hr,215866242.23576856
1889.0,picontrol,Nt25,mpi-esm1-2-hr,218295216.88902625
1890.0,picontrol,Nt25,mpi-esm1-2-hr,218937558.58733648
1891.0,picontrol,Nt25,mpi-esm1-2-hr,217479438.87869787
1892.0,picontrol,Nt25,mpi-esm1-2-hr,215445629.25608408
1893.0,picontrol,Nt25,mpi-esm1-2-hr,213652769.79256237
1894.0,picontrol,Nt25,mpi-esm1-2-hr,215223561.25216183
1895.0,picontrol,Nt25,mpi-esm1-2-hr,217197899.5228778
1896.0,picontrol,Nt25,mpi-esm1-2-hr,217608117.78029928
1897.0,picontrol,Nt25,mpi-esm1-2-hr,220396637.47077772
1898.0,picontrol,Nt25,mpi-esm1-2-hr,219943137.1715301
1899.0,picontrol,Nt25,mpi-esm1-2-hr,221699243.4686308
1900.0,picontrol,Nt25,mpi-esm1-2-hr,218737046.70486096
1901.0,picontrol,Nt25,mpi-esm1-2-hr,218268346.8405367
1902.0,picontrol,Nt25,mpi-esm1-2-hr,223800871.80227017
1903.0,picontrol,Nt25,mpi-esm1-2-hr,224378698.81621027
1904.0,picontrol,Nt25,mpi-esm1-2-hr,223855096.91623172
1905.0,picontrol,Nt25,mpi-esm1-2-hr,228120494.16205135
1906.0,picontrol,Nt25,mpi-esm1-2-hr,228605403.42713708
1907.0,picontrol,Nt25,mpi-esm1-2-hr,227687253.1115439
1908.0,picontrol,Nt25,mpi-esm1-2-hr,229090308.02100807
1909.0,picontrol,Nt25,mpi-esm1-2-hr,227395358.9897304
1910.0,picontrol,Nt25,mpi-esm1-2-hr,227227382.23619807
1911.0,picontrol,Nt25,mpi-esm1-2-hr,227765670.4729082
1912.0,picontrol,Nt25,mpi-esm1-2-hr,235480056.0488585
1913.0,picontrol,Nt25,mpi-esm1-2-hr,242179953.1552072
1914.0,picontrol,Nt25,mpi-esm1-2-hr,243465764.16142684
1915.0,picontrol,Nt25,mpi-esm1-2-hr,243041907.79889315
1916.0,picontrol,Nt25,mpi-esm1-2-hr,241452519.79457355
1917.0,picontrol,Nt25,mpi-esm1-2-hr,240503002.89157143
1918.0,picontrol,Nt25,mpi-esm1-2-hr,239445089.8558489
1919.0,picontrol,Nt25,mpi-esm1-2-hr,238029055.3222112
1920.0,picontrol,Nt25,mpi-esm1-2-hr,236946498.0378669
1921.0,picontrol,Nt25,mpi-esm1-2-hr,235356240.76281053
1922.0,picontrol,Nt25,mpi-esm1-2-hr,228354639.5388461
1923.0,picontrol,Nt25,mpi-esm1-2-hr,225598838.14700577
1924.0,picontrol,Nt25,mpi-esm1-2-hr,224933961.41210356
1925.0,picontrol,Nt25,mpi-esm1-2-hr,226130259.36374888
1926.0,picontrol,Nt25,mpi-esm1-2-hr,224735205.16019645
1927.0,picontrol,Nt25,mpi-esm1-2-hr,222288467.04245543
1928.0,picontrol,Nt25,mpi-esm1-2-hr,223369105.9812981
1929.0,picontrol,Nt25,mpi-esm1-2-hr,219721479.30447116
1930.0,picontrol,Nt25,mpi-esm1-2-hr,216004091.81460392
1931.0,picontrol,Nt25,mpi-esm1-2-hr,216312942.82437843
1932.0,picontrol,Nt25,mpi-esm1-2-hr,214895127.9190774
1933.0,picontrol,Nt25,mpi-esm1-2-hr,214780930.3944404
1934.0,picontrol,Nt25,mpi-esm1-2-hr,211743009.9228298
1935.0,picontrol,Nt25,mpi-esm1-2-hr,208669807.4340562
1936.0,picontrol,Nt25,mpi-esm1-2-hr,206488589.01835823
1937.0,picontrol,Nt25,mpi-esm1-2-hr,202997026.462342
