year,ssp,Nt,GCM,counts
1850.0,ssp585,Nt25,mpi-esm1-2-hr,210148602.861746
1851.0,ssp585,Nt25,mpi-esm1-2-hr,209539647.27324215
1852.0,ssp585,Nt25,mpi-esm1-2-hr,212078856.98356745
1853.0,ssp585,Nt25,mpi-esm1-2-hr,206577242.53293243
1854.0,ssp585,Nt25,mpi-esm1-2-hr,193492430.63133603
1855.0,ssp585,Nt25,mpi-esm1-2-hr,191278013.02264857
1856.0,ssp585,Nt25,mpi-esm1-2-hr,192008890.1015009
1857.0,ssp585,Nt25,mpi-esm1-2-hr,194519524.3158724
1858.0,ssp585,Nt25,mpi-esm1-2-hr,194545115.74383253
1859.0,ssp585,Nt25,mpi-esm1-2-hr,193402690.3177241
1860.0,ssp585,Nt25,mpi-esm1-2-hr,199008312.8813579
1861.0,ssp585,Nt25,mpi-esm1-2-hr,199895043.87631705
1862.0,ssp585,Nt25,mpi-esm1-2-hr,200673078.2571689
1863.0,ssp585,Nt25,mpi-esm1-2-hr,199331003.86622345
1864.0,ssp585,Nt25,mpi-esm1-2-hr,202293572.6881036
1865.0,ssp585,Nt25,mpi-esm1-2-hr,204392235.05588025
1866.0,ssp585,Nt25,mpi-esm1-2-hr,203673991.8225352
1867.0,ssp585,Nt25,mpi-esm1-2-hr,204338242.30134785
1868.0,ssp585,Nt25,mpi-esm1-2-hr,202951475.94248664
1869.0,ssp585,Nt25,mpi-esm1-2-hr,204574191.4923257
1870.0,ssp585,Nt25,mpi-esm1-2-hr,203832181.3965805
1871.0,ssp585,Nt25,mpi-esm1-2-hr,206036546.0147693
1872.0,ssp585,Nt25,mpi-esm1-2-hr,207232196.31784523
1873.0,ssp585,Nt25,mpi-esm1-2-hr,208649839.0104818
1874.0,ssp585,Nt25,mpi-esm1-2-hr,205341840.6463964
1875.0,ssp585,Nt25,mpi-esm1-2-hr,205161398.47314835
1876.0,ssp585,Nt25,mpi-esm1-2-hr,206736840.2747883
1877.0,ssp585,Nt25,mpi-esm1-2-hr,209832974.44050947
1878.0,ssp585,Nt25,mpi-esm1-2-hr,212665023.02674583
1879.0,ssp585,Nt25,mpi-esm1-2-hr,216511977.58954763
1880.0,ssp585,Nt25,mpi-esm1-2-hr,221542559.8990305
1881.0,ssp585,Nt25,mpi-esm1-2-hr,220640631.67251348
1882.0,ssp585,Nt25,mpi-esm1-2-hr,219900388.92296264
1883.0,ssp585,Nt25,mpi-esm1-2-hr,222444811.16625232
1884.0,ssp585,Nt25,mpi-esm1-2-hr,219170578.20316997
1885.0,ssp585,Nt25,mpi-esm1-2-hr,232271568.58319664
1886.0,ssp585,Nt25,mpi-esm1-2-hr,237827844.1027729
1887.0,ssp585,Nt25,mpi-esm1-2-hr,256363863.5383013
1888.0,ssp585,Nt25,mpi-esm1-2-hr,265993929.41747048
1889.0,ssp585,Nt25,mpi-esm1-2-hr,270608617.2688446
1890.0,ssp585,Nt25,mpi-esm1-2-hr,271532975.715492
1891.0,ssp585,Nt25,mpi-esm1-2-hr,271514088.6784165
1892.0,ssp585,Nt25,mpi-esm1-2-hr,270470274.1772292
1893.0,ssp585,Nt25,mpi-esm1-2-hr,274300209.19172275
1894.0,ssp585,Nt25,mpi-esm1-2-hr,283180642.69610023
1895.0,ssp585,Nt25,mpi-esm1-2-hr,291072377.6729287
1896.0,ssp585,Nt25,mpi-esm1-2-hr,294043001.19654435
1897.0,ssp585,Nt25,mpi-esm1-2-hr,295631752.5246906
1898.0,ssp585,Nt25,mpi-esm1-2-hr,296333030.8912204
1899.0,ssp585,Nt25,mpi-esm1-2-hr,306138987.322891
1900.0,ssp585,Nt25,mpi-esm1-2-hr,311270918.9883673
1901.0,ssp585,Nt25,mpi-esm1-2-hr,316740510.4352885
1902.0,ssp585,Nt25,mpi-esm1-2-hr,322616450.1428534
1903.0,ssp585,Nt25,mpi-esm1-2-hr,329765617.03290504
1904.0,ssp585,Nt25,mpi-esm1-2-hr,337178556.16623247
1905.0,ssp585,Nt25,mpi-esm1-2-hr,340285714.3558205
1906.0,ssp585,Nt25,mpi-esm1-2-hr,339556815.3029235
1907.0,ssp585,Nt25,mpi-esm1-2-hr,340865090.6155534
1908.0,ssp585,Nt25,mpi-esm1-2-hr,343071089.0250939
1909.0,ssp585,Nt25,mpi-esm1-2-hr,343466630.91015935
1910.0,ssp585,Nt25,mpi-esm1-2-hr,343090359.13607675
1911.0,ssp585,Nt25,mpi-esm1-2-hr,346057056.67351776
1912.0,ssp585,Nt25,mpi-esm1-2-hr,355043990.11259496
1913.0,ssp585,Nt25,mpi-esm1-2-hr,358828479.7268124
1914.0,ssp585,Nt25,mpi-esm1-2-hr,359847861.8349372
1915.0,ssp585,Nt25,mpi-esm1-2-hr,363358762.65360177
1916.0,ssp585,Nt25,mpi-esm1-2-hr,374854029.3671924
1917.0,ssp585,Nt25,mpi-esm1-2-hr,383336998.4328514
