year,ssp,Nt,GCM,counts
1850.0,ssp585,Nt25,mpi-esm1-2-hr,
1851.0,ssp585,Nt25,mpi-esm1-2-hr,
1852.0,ssp585,Nt25,mpi-esm1-2-hr,
1853.0,ssp585,Nt25,mpi-esm1-2-hr,
1854.0,ssp585,Nt25,mpi-esm1-2-hr,
1855.0,ssp585,Nt25,mpi-esm1-2-hr,
1856.0,ssp585,Nt25,mpi-esm1-2-hr,
1857.0,ssp585,Nt25,mpi-esm1-2-hr,
1858.0,ssp585,Nt25,mpi-esm1-2-hr,
1859.0,ssp585,Nt25,mpi-esm1-2-hr,
1860.0,ssp585,Nt25,mpi-esm1-2-hr,
1861.0,ssp585,Nt25,mpi-esm1-2-hr,
1862.0,ssp585,Nt25,mpi-esm1-2-hr,
1863.0,ssp585,Nt25,mpi-esm1-2-hr,
1864.0,ssp585,Nt25,mpi-esm1-2-hr,
1865.0,ssp585,Nt25,mpi-esm1-2-hr,
1866.0,ssp585,Nt25,mpi-esm1-2-hr,
1867.0,ssp585,Nt25,mpi-esm1-2-hr,
1868.0,ssp585,Nt25,mpi-esm1-2-hr,
1869.0,ssp585,Nt25,mpi-esm1-2-hr,
1870.0,ssp585,Nt25,mpi-esm1-2-hr,
1871.0,ssp585,Nt25,mpi-esm1-2-hr,
1872.0,ssp585,Nt25,mpi-esm1-2-hr,
1873.0,ssp585,Nt25,mpi-esm1-2-hr,
1874.0,ssp585,Nt25,mpi-esm1-2-hr,
1875.0,ssp585,Nt25,mpi-esm1-2-hr,
1876.0,ssp585,Nt25,mpi-esm1-2-hr,
1877.0,ssp585,Nt25,mpi-esm1-2-hr,
1878.0,ssp585,Nt25,mpi-esm1-2-hr,
1879.0,ssp585,Nt25,mpi-esm1-2-hr,
1880.0,ssp585,Nt25,mpi-esm1-2-hr,
1881.0,ssp585,Nt25,mpi-esm1-2-hr,
1882.0,ssp585,Nt25,mpi-esm1-2-hr,
1883.0,ssp585,Nt25,mpi-esm1-2-hr,
1884.0,ssp585,Nt25,mpi-esm1-2-hr,
1885.0,ssp585,Nt25,mpi-esm1-2-hr,
1886.0,ssp585,Nt25,mpi-esm1-2-hr,
1887.0,ssp585,Nt25,mpi-esm1-2-hr,
1888.0,ssp585,Nt25,mpi-esm1-2-hr,
1889.0,ssp585,Nt25,mpi-esm1-2-hr,
1890.0,ssp585,Nt25,mpi-esm1-2-hr,
1891.0,ssp585,Nt25,mpi-esm1-2-hr,
1892.0,ssp585,Nt25,mpi-esm1-2-hr,
1893.0,ssp585,Nt25,mpi-esm1-2-hr,
1894.0,ssp585,Nt25,mpi-esm1-2-hr,
1895.0,ssp585,Nt25,mpi-esm1-2-hr,
1896.0,ssp585,Nt25,mpi-esm1-2-hr,
1897.0,ssp585,Nt25,mpi-esm1-2-hr,
1898.0,ssp585,Nt25,mpi-esm1-2-hr,
1899.0,ssp585,Nt25,mpi-esm1-2-hr,
1900.0,ssp585,Nt25,mpi-esm1-2-hr,
1901.0,ssp585,Nt25,mpi-esm1-2-hr,
1902.0,ssp585,Nt25,mpi-esm1-2-hr,
1903.0,ssp585,Nt25,mpi-esm1-2-hr,
1904.0,ssp585,Nt25,mpi-esm1-2-hr,
1905.0,ssp585,Nt25,mpi-esm1-2-hr,
1906.0,ssp585,Nt25,mpi-esm1-2-hr,
1907.0,ssp585,Nt25,mpi-esm1-2-hr,
1908.0,ssp585,Nt25,mpi-esm1-2-hr,
1909.0,ssp585,Nt25,mpi-esm1-2-hr,
1910.0,ssp585,Nt25,mpi-esm1-2-hr,
1911.0,ssp585,Nt25,mpi-esm1-2-hr,
1912.0,ssp585,Nt25,mpi-esm1-2-hr,
1913.0,ssp585,Nt25,mpi-esm1-2-hr,
1914.0,ssp585,Nt25,mpi-esm1-2-hr,
1915.0,ssp585,Nt25,mpi-esm1-2-hr,
1916.0,ssp585,Nt25,mpi-esm1-2-hr,
1917.0,ssp585,Nt25,mpi-esm1-2-hr,
1918.0,ssp585,Nt25,mpi-esm1-2-hr,
1919.0,ssp585,Nt25,mpi-esm1-2-hr,
1920.0,ssp585,Nt25,mpi-esm1-2-hr,
1921.0,ssp585,Nt25,mpi-esm1-2-hr,
1922.0,ssp585,Nt25,mpi-esm1-2-hr,
1923.0,ssp585,Nt25,mpi-esm1-2-hr,
1924.0,ssp585,Nt25,mpi-esm1-2-hr,
1925.0,ssp585,Nt25,mpi-esm1-2-hr,
1926.0,ssp585,Nt25,mpi-esm1-2-hr,
1927.0,ssp585,Nt25,mpi-esm1-2-hr,
1928.0,ssp585,Nt25,mpi-esm1-2-hr,
1929.0,ssp585,Nt25,mpi-esm1-2-hr,
1930.0,ssp585,Nt25,mpi-esm1-2-hr,
1931.0,ssp585,Nt25,mpi-esm1-2-hr,
1932.0,ssp585,Nt25,mpi-esm1-2-hr,
1933.0,ssp585,Nt25,mpi-esm1-2-hr,
1934.0,ssp585,Nt25,mpi-esm1-2-hr,
1935.0,ssp585,Nt25,mpi-esm1-2-hr,
1936.0,ssp585,Nt25,mpi-esm1-2-hr,
1937.0,ssp585,Nt25,mpi-esm1-2-hr,
1938.0,ssp585,Nt25,mpi-esm1-2-hr,
1939.0,ssp585,Nt25,mpi-esm1-2-hr,
1940.0,ssp585,Nt25,mpi-esm1-2-hr,
1941.0,ssp585,Nt25,mpi-esm1-2-hr,
1942.0,ssp585,Nt25,mpi-esm1-2-hr,
1943.0,ssp585,Nt25,mpi-esm1-2-hr,
1944.0,ssp585,Nt25,mpi-esm1-2-hr,
1945.0,ssp585,Nt25,mpi-esm1-2-hr,
1946.0,ssp585,Nt25,mpi-esm1-2-hr,
1947.0,ssp585,Nt25,mpi-esm1-2-hr,
1948.0,ssp585,Nt25,mpi-esm1-2-hr,
1949.0,ssp585,Nt25,mpi-esm1-2-hr,
1950.0,ssp585,Nt25,mpi-esm1-2-hr,
1951.0,ssp585,Nt25,mpi-esm1-2-hr,
1952.0,ssp585,Nt25,mpi-esm1-2-hr,
1953.0,ssp585,Nt25,mpi-esm1-2-hr,
1954.0,ssp585,Nt25,mpi-esm1-2-hr,
1955.0,ssp585,Nt25,mpi-esm1-2-hr,
1956.0,ssp585,Nt25,mpi-esm1-2-hr,
1957.0,ssp585,Nt25,mpi-esm1-2-hr,
1958.0,ssp585,Nt25,mpi-esm1-2-hr,
1959.0,ssp585,Nt25,mpi-esm1-2-hr,
1960.0,ssp585,Nt25,mpi-esm1-2-hr,
1961.0,ssp585,Nt25,mpi-esm1-2-hr,
1962.0,ssp585,Nt25,mpi-esm1-2-hr,
1963.0,ssp585,Nt25,mpi-esm1-2-hr,
1964.0,ssp585,Nt25,mpi-esm1-2-hr,
1965.0,ssp585,Nt25,mpi-esm1-2-hr,
1966.0,ssp585,Nt25,mpi-esm1-2-hr,
1967.0,ssp585,Nt25,mpi-esm1-2-hr,
1968.0,ssp585,Nt25,mpi-esm1-2-hr,
1969.0,ssp585,Nt25,mpi-esm1-2-hr,
1970.0,ssp585,Nt25,mpi-esm1-2-hr,
1971.0,ssp585,Nt25,mpi-esm1-2-hr,
1972.0,ssp585,Nt25,mpi-esm1-2-hr,
1973.0,ssp585,Nt25,mpi-esm1-2-hr,
1974.0,ssp585,Nt25,mpi-esm1-2-hr,
1975.0,ssp585,Nt25,mpi-esm1-2-hr,
1976.0,ssp585,Nt25,mpi-esm1-2-hr,
1977.0,ssp585,Nt25,mpi-esm1-2-hr,
1978.0,ssp585,Nt25,mpi-esm1-2-hr,
1979.0,ssp585,Nt25,mpi-esm1-2-hr,
1980.0,ssp585,Nt25,mpi-esm1-2-hr,
1981.0,ssp585,Nt25,mpi-esm1-2-hr,
1982.0,ssp585,Nt25,mpi-esm1-2-hr,
1983.0,ssp585,Nt25,mpi-esm1-2-hr,
1984.0,ssp585,Nt25,mpi-esm1-2-hr,
1985.0,ssp585,Nt25,mpi-esm1-2-hr,
1986.0,ssp585,Nt25,mpi-esm1-2-hr,
1987.0,ssp585,Nt25,mpi-esm1-2-hr,
1988.0,ssp585,Nt25,mpi-esm1-2-hr,
