year,ssp,Nt,GCM,counts
1850.0,ssp585,Nt25,mri-esm2-0,226623281.6453705
1851.0,ssp585,Nt25,mri-esm2-0,222123595.079256
1852.0,ssp585,Nt25,mri-esm2-0,223859115.46881485
1853.0,ssp585,Nt25,mri-esm2-0,223866474.23266688
1854.0,ssp585,Nt25,mri-esm2-0,222818441.5270913
1855.0,ssp585,Nt25,mri-esm2-0,221852536.1246616
1856.0,ssp585,Nt25,mri-esm2-0,223175603.20263055
1857.0,ssp585,Nt25,mri-esm2-0,223885178.91573232
1858.0,ssp585,Nt25,mri-esm2-0,224307472.0037988
1859.0,ssp585,Nt25,mri-esm2-0,222205229.3261676
1860.0,ssp585,Nt25,mri-esm2-0,223828198.6596303
1861.0,ssp585,Nt25,mri-esm2-0,223892801.42246157
1862.0,ssp585,Nt25,mri-esm2-0,222956771.8015089
1863.0,ssp585,Nt25,mri-esm2-0,220786316.1687386
1864.0,ssp585,Nt25,mri-esm2-0,220940766.5046774
1865.0,ssp585,Nt25,mri-esm2-0,221974660.61561796
1866.0,ssp585,Nt25,mri-esm2-0,222103789.0588973
1867.0,ssp585,Nt25,mri-esm2-0,223301295.28252077
1868.0,ssp585,Nt25,mri-esm2-0,221866744.32483205
1869.0,ssp585,Nt25,mri-esm2-0,215741020.4063184
1870.0,ssp585,Nt25,mri-esm2-0,213991954.73623657
1871.0,ssp585,Nt25,mri-esm2-0,210130457.464446
1872.0,ssp585,Nt25,mri-esm2-0,208631562.05854315
1873.0,ssp585,Nt25,mri-esm2-0,206048730.94070947
1874.0,ssp585,Nt25,mri-esm2-0,214735184.36755732
1875.0,ssp585,Nt25,mri-esm2-0,216222332.4597
1876.0,ssp585,Nt25,mri-esm2-0,210226730.003966
1877.0,ssp585,Nt25,mri-esm2-0,211830568.9813276
1878.0,ssp585,Nt25,mri-esm2-0,212774332.1347029
1879.0,ssp585,Nt25,mri-esm2-0,211419998.0948612
1880.0,ssp585,Nt25,mri-esm2-0,215134342.62333816
1881.0,ssp585,Nt25,mri-esm2-0,220051860.22188848
1882.0,ssp585,Nt25,mri-esm2-0,221883325.4452096
1883.0,ssp585,Nt25,mri-esm2-0,223428987.2770292
1884.0,ssp585,Nt25,mri-esm2-0,230473794.0905127
1885.0,ssp585,Nt25,mri-esm2-0,233076864.3081405
1886.0,ssp585,Nt25,mri-esm2-0,236528264.44159895
1887.0,ssp585,Nt25,mri-esm2-0,246619118.3669501
1888.0,ssp585,Nt25,mri-esm2-0,248978378.69519472
1889.0,ssp585,Nt25,mri-esm2-0,256167499.59719944
1890.0,ssp585,Nt25,mri-esm2-0,259573664.4798524
1891.0,ssp585,Nt25,mri-esm2-0,261418245.81923
1892.0,ssp585,Nt25,mri-esm2-0,264121215.323104
1893.0,ssp585,Nt25,mri-esm2-0,266211884.88548076
1894.0,ssp585,Nt25,mri-esm2-0,266745712.36919916
1895.0,ssp585,Nt25,mri-esm2-0,273034700.8006741
1896.0,ssp585,Nt25,mri-esm2-0,275651757.9979924
1897.0,ssp585,Nt25,mri-esm2-0,282030778.22754484
1898.0,ssp585,Nt25,mri-esm2-0,286213381.98826873
1899.0,ssp585,Nt25,mri-esm2-0,292499276.6638136
1900.0,ssp585,Nt25,mri-esm2-0,295443538.8629444
1901.0,ssp585,Nt25,mri-esm2-0,299419136.270672
1902.0,ssp585,Nt25,mri-esm2-0,301299100.48438513
1903.0,ssp585,Nt25,mri-esm2-0,307307583.63700414
1904.0,ssp585,Nt25,mri-esm2-0,311916598.0764879
1905.0,ssp585,Nt25,mri-esm2-0,313909097.5731698
1906.0,ssp585,Nt25,mri-esm2-0,318487313.291082
1907.0,ssp585,Nt25,mri-esm2-0,317525113.76917225
1908.0,ssp585,Nt25,mri-esm2-0,322549489.236379
1909.0,ssp585,Nt25,mri-esm2-0,331525347.4356672
1910.0,ssp585,Nt25,mri-esm2-0,331902903.16782844
1911.0,ssp585,Nt25,mri-esm2-0,332587968.0986978
1912.0,ssp585,Nt25,mri-esm2-0,332318370.03970087
1913.0,ssp585,Nt25,mri-esm2-0,337156174.6760172
1914.0,ssp585,Nt25,mri-esm2-0,341656218.05379343
1915.0,ssp585,Nt25,mri-esm2-0,343752604.13501084
1916.0,ssp585,Nt25,mri-esm2-0,346062948.7381614
1917.0,ssp585,Nt25,mri-esm2-0,345513871.04875565
1918.0,ssp585,Nt25,mri-esm2-0,350700102.89323
1919.0,ssp585,Nt25,mri-esm2-0,354303058.47196484
1920.0,ssp585,Nt25,mri-esm2-0,358411926.27544874
1921.0,ssp585,Nt25,mri-esm2-0,361919442.4959205
1922.0,ssp585,Nt25,mri-esm2-0,365011114.16566086
1923.0,ssp585,Nt25,mri-esm2-0,366693776.00482905
1924.0,ssp585,Nt25,mri-esm2-0,362195096.7502356
1925.0,ssp585,Nt25,mri-esm2-0,367253460.0446767
1926.0,ssp585,Nt25,mri-esm2-0,376907790.8506687
1927.0,ssp585,Nt25,mri-esm2-0,377525272.4255501
1928.0,ssp585,Nt25,mri-esm2-0,378898663.7825123
1929.0,ssp585,Nt25,mri-esm2-0,380696656.3972536
1930.0,ssp585,Nt25,mri-esm2-0,380995656.8755585
1931.0,ssp585,Nt25,mri-esm2-0,378382460.0036672
1932.0,ssp585,Nt25,mri-esm2-0,379221433.0477656
1933.0,ssp585,Nt25,mri-esm2-0,384685006.6973656
1934.0,ssp585,Nt25,mri-esm2-0,380529616.260473
1935.0,ssp585,Nt25,mri-esm2-0,387048289.5680105
1936.0,ssp585,Nt25,mri-esm2-0,394411135.463066
1937.0,ssp585,Nt25,mri-esm2-0,401615527.9699905
1938.0,ssp585,Nt25,mri-esm2-0,405861971.4440872
1939.0,ssp585,Nt25,mri-esm2-0,411500108.4982225
1940.0,ssp585,Nt25,mri-esm2-0,420169803.7107252
1941.0,ssp585,Nt25,mri-esm2-0,423944413.1159049
1942.0,ssp585,Nt25,mri-esm2-0,436440164.4208536
1943.0,ssp585,Nt25,mri-esm2-0,437789318.7188883
1944.0,ssp585,Nt25,mri-esm2-0,440756042.5677416
1945.0,ssp585,Nt25,mri-esm2-0,440512303.7599855
1946.0,ssp585,Nt25,mri-esm2-0,449878694.2969161
1947.0,ssp585,Nt25,mri-esm2-0,453166118.342667
1948.0,ssp585,Nt25,mri-esm2-0,458162209.5340884
1949.0,ssp585,Nt25,mri-esm2-0,463415940.8892475
1950.0,ssp585,Nt25,mri-esm2-0,471272479.4412787
1951.0,ssp585,Nt25,mri-esm2-0,481104040.5449234
1952.0,ssp585,Nt25,mri-esm2-0,503547521.8808542
1953.0,ssp585,Nt25,mri-esm2-0,516834309.52446645
1954.0,ssp585,Nt25,mri-esm2-0,523683884.7620038
1955.0,ssp585,Nt25,mri-esm2-0,538618408.5934923
1956.0,ssp585,Nt25,mri-esm2-0,549303932.0014882
1957.0,ssp585,Nt25,mri-esm2-0,566711216.8485461
1958.0,ssp585,Nt25,mri-esm2-0,582059376.2562321
1959.0,ssp585,Nt25,mri-esm2-0,602223200.1971314
1960.0,ssp585,Nt25,mri-esm2-0,622481306.9366107
1961.0,ssp585,Nt25,mri-esm2-0,639409499.9260001
1962.0,ssp585,Nt25,mri-esm2-0,659936720.5419531
1963.0,ssp585,Nt25,mri-esm2-0,677660845.6158578
1964.0,ssp585,Nt25,mri-esm2-0,703687831.6643298
1965.0,ssp585,Nt25,mri-esm2-0,725688934.8942155
1966.0,ssp585,Nt25,mri-esm2-0,757668877.5058631
1967.0,ssp585,Nt25,mri-esm2-0,790015680.5028844
1968.0,ssp585,Nt25,mri-esm2-0,825405863.8058139
1969.0,ssp585,Nt25,mri-esm2-0,859875280.5080973
1970.0,ssp585,Nt25,mri-esm2-0,906169141.9672712
1971.0,ssp585,Nt25,mri-esm2-0,949612523.52375
1972.0,ssp585,Nt25,mri-esm2-0,992519923.9154664
1973.0,ssp585,Nt25,mri-esm2-0,1041464783.1626924
1974.0,ssp585,Nt25,mri-esm2-0,1087423569.79064
