year,ssp,Nt,GCM,counts
1850.0,picontrol,Nt25,mri-esm2-0,
1851.0,picontrol,Nt25,mri-esm2-0,
1852.0,picontrol,Nt25,mri-esm2-0,
1853.0,picontrol,Nt25,mri-esm2-0,
1854.0,picontrol,Nt25,mri-esm2-0,
1855.0,picontrol,Nt25,mri-esm2-0,
1856.0,picontrol,Nt25,mri-esm2-0,
1857.0,picontrol,Nt25,mri-esm2-0,
1858.0,picontrol,Nt25,mri-esm2-0,
1859.0,picontrol,Nt25,mri-esm2-0,
1860.0,picontrol,Nt25,mri-esm2-0,
1861.0,picontrol,Nt25,mri-esm2-0,
1862.0,picontrol,Nt25,mri-esm2-0,
1863.0,picontrol,Nt25,mri-esm2-0,
1864.0,picontrol,Nt25,mri-esm2-0,
1865.0,picontrol,Nt25,mri-esm2-0,
1866.0,picontrol,Nt25,mri-esm2-0,
1867.0,picontrol,Nt25,mri-esm2-0,
1868.0,picontrol,Nt25,mri-esm2-0,
1869.0,picontrol,Nt25,mri-esm2-0,
1870.0,picontrol,Nt25,mri-esm2-0,
1871.0,picontrol,Nt25,mri-esm2-0,
1872.0,picontrol,Nt25,mri-esm2-0,
1873.0,picontrol,Nt25,mri-esm2-0,
1874.0,picontrol,Nt25,mri-esm2-0,
1875.0,picontrol,Nt25,mri-esm2-0,
1876.0,picontrol,Nt25,mri-esm2-0,
1877.0,picontrol,Nt25,mri-esm2-0,
1878.0,picontrol,Nt25,mri-esm2-0,
1879.0,picontrol,Nt25,mri-esm2-0,
1880.0,picontrol,Nt25,mri-esm2-0,
1881.0,picontrol,Nt25,mri-esm2-0,
1882.0,picontrol,Nt25,mri-esm2-0,
1883.0,picontrol,Nt25,mri-esm2-0,
1884.0,picontrol,Nt25,mri-esm2-0,
1885.0,picontrol,Nt25,mri-esm2-0,
1886.0,picontrol,Nt25,mri-esm2-0,
1887.0,picontrol,Nt25,mri-esm2-0,
1888.0,picontrol,Nt25,mri-esm2-0,
1889.0,picontrol,Nt25,mri-esm2-0,
1890.0,picontrol,Nt25,mri-esm2-0,
1891.0,picontrol,Nt25,mri-esm2-0,
1892.0,picontrol,Nt25,mri-esm2-0,
1893.0,picontrol,Nt25,mri-esm2-0,
1894.0,picontrol,Nt25,mri-esm2-0,
1895.0,picontrol,Nt25,mri-esm2-0,
1896.0,picontrol,Nt25,mri-esm2-0,
1897.0,picontrol,Nt25,mri-esm2-0,
1898.0,picontrol,Nt25,mri-esm2-0,
1899.0,picontrol,Nt25,mri-esm2-0,
1900.0,picontrol,Nt25,mri-esm2-0,
1901.0,picontrol,Nt25,mri-esm2-0,
1902.0,picontrol,Nt25,mri-esm2-0,
1903.0,picontrol,Nt25,mri-esm2-0,
1904.0,picontrol,Nt25,mri-esm2-0,
1905.0,picontrol,Nt25,mri-esm2-0,
1906.0,picontrol,Nt25,mri-esm2-0,
1907.0,picontrol,Nt25,mri-esm2-0,
1908.0,picontrol,Nt25,mri-esm2-0,
1909.0,picontrol,Nt25,mri-esm2-0,
1910.0,picontrol,Nt25,mri-esm2-0,
1911.0,picontrol,Nt25,mri-esm2-0,
1912.0,picontrol,Nt25,mri-esm2-0,
1913.0,picontrol,Nt25,mri-esm2-0,
1914.0,picontrol,Nt25,mri-esm2-0,
1915.0,picontrol,Nt25,mri-esm2-0,
1916.0,picontrol,Nt25,mri-esm2-0,
1917.0,picontrol,Nt25,mri-esm2-0,
1918.0,picontrol,Nt25,mri-esm2-0,
1919.0,picontrol,Nt25,mri-esm2-0,
1920.0,picontrol,Nt25,mri-esm2-0,
1921.0,picontrol,Nt25,mri-esm2-0,
1922.0,picontrol,Nt25,mri-esm2-0,
1923.0,picontrol,Nt25,mri-esm2-0,
1924.0,picontrol,Nt25,mri-esm2-0,
1925.0,picontrol,Nt25,mri-esm2-0,
1926.0,picontrol,Nt25,mri-esm2-0,
1927.0,picontrol,Nt25,mri-esm2-0,
1928.0,picontrol,Nt25,mri-esm2-0,
1929.0,picontrol,Nt25,mri-esm2-0,
1930.0,picontrol,Nt25,mri-esm2-0,
1931.0,picontrol,Nt25,mri-esm2-0,
1932.0,picontrol,Nt25,mri-esm2-0,
1933.0,picontrol,Nt25,mri-esm2-0,
1934.0,picontrol,Nt25,mri-esm2-0,
1935.0,picontrol,Nt25,mri-esm2-0,
1936.0,picontrol,Nt25,mri-esm2-0,
1937.0,picontrol,Nt25,mri-esm2-0,
1938.0,picontrol,Nt25,mri-esm2-0,
1939.0,picontrol,Nt25,mri-esm2-0,
1940.0,picontrol,Nt25,mri-esm2-0,
1941.0,picontrol,Nt25,mri-esm2-0,
1942.0,picontrol,Nt25,mri-esm2-0,
1943.0,picontrol,Nt25,mri-esm2-0,
1944.0,picontrol,Nt25,mri-esm2-0,
1945.0,picontrol,Nt25,mri-esm2-0,
1946.0,picontrol,Nt25,mri-esm2-0,
1947.0,picontrol,Nt25,mri-esm2-0,
1948.0,picontrol,Nt25,mri-esm2-0,
1949.0,picontrol,Nt25,mri-esm2-0,
1950.0,picontrol,Nt25,mri-esm2-0,
1951.0,picontrol,Nt25,mri-esm2-0,
1952.0,picontrol,Nt25,mri-esm2-0,
1953.0,picontrol,Nt25,mri-esm2-0,
1954.0,picontrol,Nt25,mri-esm2-0,
1955.0,picontrol,Nt25,mri-esm2-0,
1956.0,picontrol,Nt25,mri-esm2-0,
1957.0,picontrol,Nt25,mri-esm2-0,
1958.0,picontrol,Nt25,mri-esm2-0,
1959.0,picontrol,Nt25,mri-esm2-0,
1960.0,picontrol,Nt25,mri-esm2-0,
1961.0,picontrol,Nt25,mri-esm2-0,
1962.0,picontrol,Nt25,mri-esm2-0,
1963.0,picontrol,Nt25,mri-esm2-0,
1964.0,picontrol,Nt25,mri-esm2-0,
1965.0,picontrol,Nt25,mri-esm2-0,
1966.0,picontrol,Nt25,mri-esm2-0,
1967.0,picontrol,Nt25,mri-esm2-0,
1968.0,picontrol,Nt25,mri-esm2-0,
1969.0,picontrol,Nt25,mri-esm2-0,
1970.0,picontrol,Nt25,mri-esm2-0,
1971.0,picontrol,Nt25,mri-esm2-0,
1972.0,picontrol,Nt25,mri-esm2-0,
1973.0,picontrol,Nt25,mri-esm2-0,
1974.0,picontrol,Nt25,mri-esm2-0,
1975.0,picontrol,Nt25,mri-esm2-0,
1976.0,picontrol,Nt25,mri-esm2-0,
1977.0,picontrol,Nt25,mri-esm2-0,
1978.0,picontrol,Nt25,mri-esm2-0,
1979.0,picontrol,Nt25,mri-esm2-0,
1980.0,picontrol,Nt25,mri-esm2-0,
1981.0,picontrol,Nt25,mri-esm2-0,
1982.0,picontrol,Nt25,mri-esm2-0,
1983.0,picontrol,Nt25,mri-esm2-0,
1984.0,picontrol,Nt25,mri-esm2-0,
1985.0,picontrol,Nt25,mri-esm2-0,
1986.0,picontrol,Nt25,mri-esm2-0,
1987.0,picontrol,Nt25,mri-esm2-0,
1988.0,picontrol,Nt25,mri-esm2-0,
1989.0,picontrol,Nt25,mri-esm2-0,
1990.0,picontrol,Nt25,mri-esm2-0,
1991.0,picontrol,Nt25,mri-esm2-0,
1992.0,picontrol,Nt25,mri-esm2-0,
1993.0,picontrol,Nt25,mri-esm2-0,
1994.0,picontrol,Nt25,mri-esm2-0,
1995.0,picontrol,Nt25,mri-esm2-0,
1996.0,picontrol,Nt25,mri-esm2-0,
1997.0,picontrol,Nt25,mri-esm2-0,
