year,ssp,Nt,counts
1850.0,picontrol,Nt25,21102719.396460455
1851.0,picontrol,Nt25,21616425.558179453
1852.0,picontrol,Nt25,22757743.28293119
1853.0,picontrol,Nt25,24654195.994282085
1854.0,picontrol,Nt25,24357894.64937754
1855.0,picontrol,Nt25,22812155.7692264
1856.0,picontrol,Nt25,22250069.616753943
1857.0,picontrol,Nt25,21736692.737636175
1858.0,picontrol,Nt25,22918283.433203153
1859.0,picontrol,Nt25,21805442.370897356
1860.0,picontrol,Nt25,21482553.50054884
1861.0,picontrol,Nt25,21860739.973106623
1862.0,picontrol,Nt25,21635075.54518387
1863.0,picontrol,Nt25,21463294.127301015
1864.0,picontrol,Nt25,22596768.610100474
1865.0,picontrol,Nt25,22029960.046644922
1866.0,picontrol,Nt25,20707807.8621653
1867.0,picontrol,Nt25,21313986.0305222
1868.0,picontrol,Nt25,21835001.06953223
1869.0,picontrol,Nt25,21029044.556888774
1870.0,picontrol,Nt25,22307231.19855677
1871.0,picontrol,Nt25,24756312.66417767
1872.0,picontrol,Nt25,23487409.089641087
1873.0,picontrol,Nt25,21873742.230548806
1874.0,picontrol,Nt25,24217244.370186187
1875.0,picontrol,Nt25,23967335.194894098
1876.0,picontrol,Nt25,22120977.514095806
1877.0,picontrol,Nt25,18521697.47802347
1878.0,picontrol,Nt25,22409926.3245696
1879.0,picontrol,Nt25,21022429.73042402
1880.0,picontrol,Nt25,19822388.656605896
1881.0,picontrol,Nt25,19807217.673841488
1882.0,picontrol,Nt25,17398617.573023118
1883.0,picontrol,Nt25,14782920.745887283
1884.0,picontrol,Nt25,17809906.1659914
1885.0,picontrol,Nt25,18640519.074054755
1886.0,picontrol,Nt25,19093578.578998256
1887.0,picontrol,Nt25,17817867.193867955
1888.0,picontrol,Nt25,18523132.559763003
1889.0,picontrol,Nt25,18415091.754649833
1890.0,picontrol,Nt25,18541191.93390728
1891.0,picontrol,Nt25,18529171.196932826
1892.0,picontrol,Nt25,19187241.311393086
1893.0,picontrol,Nt25,18138197.84462495
1894.0,picontrol,Nt25,17930024.461978167
1895.0,picontrol,Nt25,16805884.02555539
1896.0,picontrol,Nt25,15735946.845665427
1897.0,picontrol,Nt25,14814394.462818623
1898.0,picontrol,Nt25,13365702.792612819
1899.0,picontrol,Nt25,14314516.01580769
1900.0,picontrol,Nt25,18110727.562980443
1901.0,picontrol,Nt25,16925744.447885256
1902.0,picontrol,Nt25,17942183.987943616
