year,ssp,Nt,counts
1850.0,ssp585,Nt25,11463828.93824479
1851.0,ssp585,Nt25,12589905.229006449
1852.0,ssp585,Nt25,11672807.439213578
1853.0,ssp585,Nt25,14911697.245238438
1854.0,ssp585,Nt25,18275943.17188398
1855.0,ssp585,Nt25,19808680.711014763
1856.0,ssp585,Nt25,21427797.75166103
1857.0,ssp585,Nt25,20564980.514933318
1858.0,ssp585,Nt25,20545666.400490567
1859.0,ssp585,Nt25,22112732.639358725
1860.0,ssp585,Nt25,21295217.25569498
1861.0,ssp585,Nt25,21382532.297573213
1862.0,ssp585,Nt25,22794747.641891006
1863.0,ssp585,Nt25,23028602.35531363
1864.0,ssp585,Nt25,22718874.720084723
1865.0,ssp585,Nt25,20859629.89790466
1866.0,ssp585,Nt25,19165426.57049622
1867.0,ssp585,Nt25,20211237.517618485
1868.0,ssp585,Nt25,20741777.064925823
1869.0,ssp585,Nt25,21312675.562498767
1870.0,ssp585,Nt25,25759323.363233835
1871.0,ssp585,Nt25,27700652.53830495
1872.0,ssp585,Nt25,28773339.24677883
1873.0,ssp585,Nt25,27038107.18136249
1874.0,ssp585,Nt25,25750688.875739958
1875.0,ssp585,Nt25,27036795.084692527
1876.0,ssp585,Nt25,28589884.094147008
1877.0,ssp585,Nt25,27572365.612300087
1878.0,ssp585,Nt25,27232527.24006757
1879.0,ssp585,Nt25,26499705.370561574
1880.0,ssp585,Nt25,24629941.669486508
1881.0,ssp585,Nt25,26024283.015643027
1882.0,ssp585,Nt25,29004329.315347757
1883.0,ssp585,Nt25,32475667.512035653
1884.0,ssp585,Nt25,34881195.156899475
1885.0,ssp585,Nt25,34078143.3792987
1886.0,ssp585,Nt25,33838563.896300256
1887.0,ssp585,Nt25,31212582.799406316
1888.0,ssp585,Nt25,31059480.268181458
1889.0,ssp585,Nt25,31371466.52094126
1890.0,ssp585,Nt25,33367622.272791874
1891.0,ssp585,Nt25,38876165.431142084
1892.0,ssp585,Nt25,41865077.99056742
1893.0,ssp585,Nt25,42632024.28241016
1894.0,ssp585,Nt25,43372307.12239736
1895.0,ssp585,Nt25,42902402.1482685
1896.0,ssp585,Nt25,42359074.65386103
1897.0,ssp585,Nt25,40174128.90100717
1898.0,ssp585,Nt25,41052548.99793231
1899.0,ssp585,Nt25,41350788.66124845
1900.0,ssp585,Nt25,38932661.63577112
1901.0,ssp585,Nt25,41777145.53198101
1902.0,ssp585,Nt25,43781657.8016473
1903.0,ssp585,Nt25,44222439.80522705
1904.0,ssp585,Nt25,48535492.50353423
1905.0,ssp585,Nt25,44285426.70041446
1906.0,ssp585,Nt25,41765129.0396161
1907.0,ssp585,Nt25,41727838.26484197
1908.0,ssp585,Nt25,45149878.09974665
1909.0,ssp585,Nt25,47046425.83575669
1910.0,ssp585,Nt25,49517195.32709143
1911.0,ssp585,Nt25,52046315.71347652
1912.0,ssp585,Nt25,54598390.09584766
1913.0,ssp585,Nt25,56641634.296368115
1914.0,ssp585,Nt25,60179939.133786544
1915.0,ssp585,Nt25,62004818.553819574
1916.0,ssp585,Nt25,60468229.446535185
1917.0,ssp585,Nt25,57822315.023042135
1918.0,ssp585,Nt25,59209981.022586666
1919.0,ssp585,Nt25,61988970.676828034
1920.0,ssp585,Nt25,66615252.834993936
1921.0,ssp585,Nt25,66003501.65194465
1922.0,ssp585,Nt25,68008768.59212725
1923.0,ssp585,Nt25,72198289.31129386
1924.0,ssp585,Nt25,80371339.26377107
1925.0,ssp585,Nt25,84235419.9610927
1926.0,ssp585,Nt25,85988130.37594527
1927.0,ssp585,Nt25,90466040.61600137
1928.0,ssp585,Nt25,92656089.16936825
1929.0,ssp585,Nt25,92509013.13423789
1930.0,ssp585,Nt25,91983039.22119232
1931.0,ssp585,Nt25,103407953.38775983
1932.0,ssp585,Nt25,108977546.21348134
1933.0,ssp585,Nt25,110002806.8207725
1934.0,ssp585,Nt25,106988416.54523435
1935.0,ssp585,Nt25,104360207.58933677
1936.0,ssp585,Nt25,107792405.94712232
1937.0,ssp585,Nt25,114119778.2837818
1938.0,ssp585,Nt25,118091392.9868945
1939.0,ssp585,Nt25,130329400.68925823
1940.0,ssp585,Nt25,144189433.27317956
1941.0,ssp585,Nt25,148218038.39006123
1942.0,ssp585,Nt25,148899332.84122947
1943.0,ssp585,Nt25,148469715.3040633
1944.0,ssp585,Nt25,151339264.33996254
1945.0,ssp585,Nt25,159221554.02378184
1946.0,ssp585,Nt25,164093653.0056657
1947.0,ssp585,Nt25,170861507.01847687
1948.0,ssp585,Nt25,180603549.47330996
1949.0,ssp585,Nt25,184749831.05223998
1950.0,ssp585,Nt25,192056789.69974056
1951.0,ssp585,Nt25,204830877.872012
1952.0,ssp585,Nt25,207344070.82104257
1953.0,ssp585,Nt25,199928800.47376266
1954.0,ssp585,Nt25,202878138.27573496
1955.0,ssp585,Nt25,207642618.7927108
1956.0,ssp585,Nt25,217481317.35843062
1957.0,ssp585,Nt25,220364716.50238764
1958.0,ssp585,Nt25,219009510.54943132
1959.0,ssp585,Nt25,215995157.28182325
1960.0,ssp585,Nt25,222939219.3822335
1961.0,ssp585,Nt25,231363229.35517302
1962.0,ssp585,Nt25,234273895.00404474
1963.0,ssp585,Nt25,233080737.80915138
1964.0,ssp585,Nt25,236423153.49904698
1965.0,ssp585,Nt25,236602233.01362804
1966.0,ssp585,Nt25,233031197.09483796
1967.0,ssp585,Nt25,241977824.61063078
1968.0,ssp585,Nt25,247970185.2769718
1969.0,ssp585,Nt25,242784622.1209282
1970.0,ssp585,Nt25,239126042.20062757
1971.0,ssp585,Nt25,239628527.54299635
1972.0,ssp585,Nt25,246636023.96137634
1973.0,ssp585,Nt25,242953145.6494413
1974.0,ssp585,Nt25,236590085.21982846
1975.0,ssp585,Nt25,234055055.57045308
1976.0,ssp585,Nt25,236964304.7547946
1977.0,ssp585,Nt25,234032943.45706916
1978.0,ssp585,Nt25,239276910.3310937
1979.0,ssp585,Nt25,244253933.4344761
1980.0,ssp585,Nt25,248472971.15805322
1981.0,ssp585,Nt25,259671683.9586066
1982.0,ssp585,Nt25,261164536.74476397
1983.0,ssp585,Nt25,265242759.77260858
1984.0,ssp585,Nt25,273029892.4166403
1985.0,ssp585,Nt25,281769630.5748894
1986.0,ssp585,Nt25,290040889.6589641
1987.0,ssp585,Nt25,298825608.5996416
1988.0,ssp585,Nt25,308651974.5957207
1989.0,ssp585,Nt25,320098267.79607487
1990.0,ssp585,Nt25,333186360.6403706
1991.0,ssp585,Nt25,350752142.4296499
1992.0,ssp585,Nt25,374249419.47892237
1993.0,ssp585,Nt25,397281036.8414322
1994.0,ssp585,Nt25,410287341.6469537
1995.0,ssp585,Nt25,427889190.6349025
1996.0,ssp585,Nt25,447043013.82647467
1997.0,ssp585,Nt25,465387056.38773453
1998.0,ssp585,Nt25,489434174.8520217
1999.0,ssp585,Nt25,504932394.8471619
2000.0,ssp585,Nt25,518013631.16603833
2001.0,ssp585,Nt25,539104972.5716342
2002.0,ssp585,Nt25,559003769.3979241
2003.0,ssp585,Nt25,576040469.1404636
2004.0,ssp585,Nt25,595996201.6863555
2005.0,ssp585,Nt25,616254948.9010276
2006.0,ssp585,Nt25,629945263.4006281
2007.0,ssp585,Nt25,642790790.7044945
2008.0,ssp585,Nt25,660018320.6828332
2009.0,ssp585,Nt25,676817150.7295918
2010.0,ssp585,Nt25,696614419.6034966
2011.0,ssp585,Nt25,710560390.248054
2012.0,ssp585,Nt25,725834351.4564519
2013.0,ssp585,Nt25,739924972.0135555
2014.0,ssp585,Nt25,755528530.7125547
2015.0,ssp585,Nt25,768702245.1388015
2016.0,ssp585,Nt25,775371331.1599123
2017.0,ssp585,Nt25,785942286.9817896
2018.0,ssp585,Nt25,802209725.5088251
2019.0,ssp585,Nt25,809385787.766089
2020.0,ssp585,Nt25,819095453.3722614
2021.0,ssp585,Nt25,828041017.5687903
2022.0,ssp585,Nt25,835086850.266317
2023.0,ssp585,Nt25,844379851.3958465
2024.0,ssp585,Nt25,851874759.5544379
2025.0,ssp585,Nt25,857049090.1687535
2026.0,ssp585,Nt25,859021628.0306756
2027.0,ssp585,Nt25,863414132.2607933
2028.0,ssp585,Nt25,857165342.2040015
2029.0,ssp585,Nt25,859060548.3996321
2030.0,ssp585,Nt25,861659539.1286776
2031.0,ssp585,Nt25,856787145.7111994
2032.0,ssp585,Nt25,855382468.1596301
2033.0,ssp585,Nt25,851865831.2313976
2034.0,ssp585,Nt25,842583549.5726354
2035.0,ssp585,Nt25,834155350.1004531
2036.0,ssp585,Nt25,827958938.4005415
2037.0,ssp585,Nt25,824165258.6230849
2038.0,ssp585,Nt25,818468229.3706179
2039.0,ssp585,Nt25,809965648.3919855
2040.0,ssp585,Nt25,800151327.4487745
2041.0,ssp585,Nt25,789027270.8312539
2042.0,ssp585,Nt25,774180010.5156132
2043.0,ssp585,Nt25,760025052.4203309
2044.0,ssp585,Nt25,752719975.6796609
2045.0,ssp585,Nt25,742555310.2233893
2046.0,ssp585,Nt25,733752669.7581449
2047.0,ssp585,Nt25,722632626.4300425
2048.0,ssp585,Nt25,706245170.9269569
2049.0,ssp585,Nt25,695909451.6969519
2050.0,ssp585,Nt25,686801107.2595267
