year,ssp,Nt,GCM,counts
1850.0,picontrol,Nt25,ukesm1-0-ll,184038866.04864305
1851.0,picontrol,Nt25,ukesm1-0-ll,183688237.11047176
1852.0,picontrol,Nt25,ukesm1-0-ll,185496823.49569595
1853.0,picontrol,Nt25,ukesm1-0-ll,194330379.43841064
1854.0,picontrol,Nt25,ukesm1-0-ll,192207028.5652038
1855.0,picontrol,Nt25,ukesm1-0-ll,192074184.57413787
1856.0,picontrol,Nt25,ukesm1-0-ll,191663215.92052293
1857.0,picontrol,Nt25,ukesm1-0-ll,190342103.07948232
1858.0,picontrol,Nt25,ukesm1-0-ll,189974020.6502235
1859.0,picontrol,Nt25,ukesm1-0-ll,188504181.0567523
1860.0,picontrol,Nt25,ukesm1-0-ll,191951493.1622756
1861.0,picontrol,Nt25,ukesm1-0-ll,201559017.45221084
1862.0,picontrol,Nt25,ukesm1-0-ll,202767751.73767817
1863.0,picontrol,Nt25,ukesm1-0-ll,204333832.4819108
1864.0,picontrol,Nt25,ukesm1-0-ll,208475277.30360752
1865.0,picontrol,Nt25,ukesm1-0-ll,210033576.2819904
1866.0,picontrol,Nt25,ukesm1-0-ll,208564659.2436814
1867.0,picontrol,Nt25,ukesm1-0-ll,212477096.35528103
1868.0,picontrol,Nt25,ukesm1-0-ll,215472774.50012144
1869.0,picontrol,Nt25,ukesm1-0-ll,217410218.0568536
1870.0,picontrol,Nt25,ukesm1-0-ll,216487082.6151727
1871.0,picontrol,Nt25,ukesm1-0-ll,213750322.17936465
1872.0,picontrol,Nt25,ukesm1-0-ll,213051671.7286389
1873.0,picontrol,Nt25,ukesm1-0-ll,216842107.27819023
1874.0,picontrol,Nt25,ukesm1-0-ll,226682865.1613924
1875.0,picontrol,Nt25,ukesm1-0-ll,227239961.38450283
1876.0,picontrol,Nt25,ukesm1-0-ll,227034739.07646
1877.0,picontrol,Nt25,ukesm1-0-ll,221162512.313237
1878.0,picontrol,Nt25,ukesm1-0-ll,226122895.90612307
1879.0,picontrol,Nt25,ukesm1-0-ll,222551189.798077
1880.0,picontrol,Nt25,ukesm1-0-ll,221091083.2940113
1881.0,picontrol,Nt25,ukesm1-0-ll,222677331.833125
1882.0,picontrol,Nt25,ukesm1-0-ll,220110545.70434937
1883.0,picontrol,Nt25,ukesm1-0-ll,218154586.16916424
1884.0,picontrol,Nt25,ukesm1-0-ll,216627551.7338217
1885.0,picontrol,Nt25,ukesm1-0-ll,218218243.35193807
1886.0,picontrol,Nt25,ukesm1-0-ll,218235770.49819928
1887.0,picontrol,Nt25,ukesm1-0-ll,209894549.32264227
1888.0,picontrol,Nt25,ukesm1-0-ll,205098430.7360692
1889.0,picontrol,Nt25,ukesm1-0-ll,205836713.11477396
1890.0,picontrol,Nt25,ukesm1-0-ll,205374857.10603255
1891.0,picontrol,Nt25,ukesm1-0-ll,208618141.4621547
1892.0,picontrol,Nt25,ukesm1-0-ll,209739244.56841385
1893.0,picontrol,Nt25,ukesm1-0-ll,205309619.09804472
1894.0,picontrol,Nt25,ukesm1-0-ll,202712055.91275436
1895.0,picontrol,Nt25,ukesm1-0-ll,204215136.8426339
1896.0,picontrol,Nt25,ukesm1-0-ll,203985195.83021125
1897.0,picontrol,Nt25,ukesm1-0-ll,209132590.396227
1898.0,picontrol,Nt25,ukesm1-0-ll,208903144.37232715
1899.0,picontrol,Nt25,ukesm1-0-ll,210690170.7202221
1900.0,picontrol,Nt25,ukesm1-0-ll,211078534.4981192
1901.0,picontrol,Nt25,ukesm1-0-ll,212221049.40859944
1902.0,picontrol,Nt25,ukesm1-0-ll,212259279.2963324
1903.0,picontrol,Nt25,ukesm1-0-ll,208118520.9843217
1904.0,picontrol,Nt25,ukesm1-0-ll,217446838.73527637
