year,ssp,Nt,GCM,counts
1850.0,ssp585,Nt25,ukesm1-0-ll,242145539.84977245
1851.0,ssp585,Nt25,ukesm1-0-ll,243321584.48997796
1852.0,ssp585,Nt25,ukesm1-0-ll,242478420.52480325
1853.0,ssp585,Nt25,ukesm1-0-ll,241773423.31540155
1854.0,ssp585,Nt25,ukesm1-0-ll,241822344.23671252
1855.0,ssp585,Nt25,ukesm1-0-ll,239348662.49058905
1856.0,ssp585,Nt25,ukesm1-0-ll,240916942.8961217
1857.0,ssp585,Nt25,ukesm1-0-ll,239837273.4545521
1858.0,ssp585,Nt25,ukesm1-0-ll,240405439.0645068
1859.0,ssp585,Nt25,ukesm1-0-ll,244403775.541434
1860.0,ssp585,Nt25,ukesm1-0-ll,246288904.50402737
1861.0,ssp585,Nt25,ukesm1-0-ll,245429756.42201197
1862.0,ssp585,Nt25,ukesm1-0-ll,247307189.92835647
1863.0,ssp585,Nt25,ukesm1-0-ll,249257593.8063333
1864.0,ssp585,Nt25,ukesm1-0-ll,253628048.13106367
1865.0,ssp585,Nt25,ukesm1-0-ll,250295301.38418636
1866.0,ssp585,Nt25,ukesm1-0-ll,250535630.33240068
1867.0,ssp585,Nt25,ukesm1-0-ll,256290542.1568076
1868.0,ssp585,Nt25,ukesm1-0-ll,254938094.60989013
1869.0,ssp585,Nt25,ukesm1-0-ll,255956650.85477352
1870.0,ssp585,Nt25,ukesm1-0-ll,264300022.2635427
1871.0,ssp585,Nt25,ukesm1-0-ll,267624227.91362697
1872.0,ssp585,Nt25,ukesm1-0-ll,270138999.29905343
1873.0,ssp585,Nt25,ukesm1-0-ll,262658106.30141565
1874.0,ssp585,Nt25,ukesm1-0-ll,253895444.8432188
1875.0,ssp585,Nt25,ukesm1-0-ll,258288331.04927185
1876.0,ssp585,Nt25,ukesm1-0-ll,259799220.2686667
1877.0,ssp585,Nt25,ukesm1-0-ll,266117704.3735065
1878.0,ssp585,Nt25,ukesm1-0-ll,263516832.76547348
1879.0,ssp585,Nt25,ukesm1-0-ll,247808111.61347732
1880.0,ssp585,Nt25,ukesm1-0-ll,245647041.40871644
1881.0,ssp585,Nt25,ukesm1-0-ll,255232477.38311505
1882.0,ssp585,Nt25,ukesm1-0-ll,256236063.69443813
1883.0,ssp585,Nt25,ukesm1-0-ll,253735005.60534167
1884.0,ssp585,Nt25,ukesm1-0-ll,248895647.87353757
1885.0,ssp585,Nt25,ukesm1-0-ll,254833115.59483963
1886.0,ssp585,Nt25,ukesm1-0-ll,264235452.2303253
1887.0,ssp585,Nt25,ukesm1-0-ll,279316498.3944627
1888.0,ssp585,Nt25,ukesm1-0-ll,277137306.46149623
1889.0,ssp585,Nt25,ukesm1-0-ll,273028378.11679286
1890.0,ssp585,Nt25,ukesm1-0-ll,269691353.16405785
1891.0,ssp585,Nt25,ukesm1-0-ll,271132995.95162845
1892.0,ssp585,Nt25,ukesm1-0-ll,269041648.3533863
1893.0,ssp585,Nt25,ukesm1-0-ll,262179177.1335946
1894.0,ssp585,Nt25,ukesm1-0-ll,260476589.00418591
1895.0,ssp585,Nt25,ukesm1-0-ll,270575446.94822186
1896.0,ssp585,Nt25,ukesm1-0-ll,270317472.2137757
1897.0,ssp585,Nt25,ukesm1-0-ll,273068907.55614483
1898.0,ssp585,Nt25,ukesm1-0-ll,274411027.85386443
1899.0,ssp585,Nt25,ukesm1-0-ll,278548793.9532629
1900.0,ssp585,Nt25,ukesm1-0-ll,285141715.2820493
1901.0,ssp585,Nt25,ukesm1-0-ll,283748426.67990375
1902.0,ssp585,Nt25,ukesm1-0-ll,280663576.3262439
1903.0,ssp585,Nt25,ukesm1-0-ll,278154783.80426
1904.0,ssp585,Nt25,ukesm1-0-ll,278051575.08032537
1905.0,ssp585,Nt25,ukesm1-0-ll,288176266.4317845
1906.0,ssp585,Nt25,ukesm1-0-ll,290800343.82686526
1907.0,ssp585,Nt25,ukesm1-0-ll,291441707.4157072
1908.0,ssp585,Nt25,ukesm1-0-ll,290364540.9655408
1909.0,ssp585,Nt25,ukesm1-0-ll,289089064.2038908
1910.0,ssp585,Nt25,ukesm1-0-ll,287990431.9068351
1911.0,ssp585,Nt25,ukesm1-0-ll,286521386.4941864
1912.0,ssp585,Nt25,ukesm1-0-ll,281799497.3140401
1913.0,ssp585,Nt25,ukesm1-0-ll,287756993.54849243
1914.0,ssp585,Nt25,ukesm1-0-ll,284490939.97207767
1915.0,ssp585,Nt25,ukesm1-0-ll,279377368.8765155
1916.0,ssp585,Nt25,ukesm1-0-ll,280361760.4341663
1917.0,ssp585,Nt25,ukesm1-0-ll,282199506.59668857
1918.0,ssp585,Nt25,ukesm1-0-ll,281339751.0682133
1919.0,ssp585,Nt25,ukesm1-0-ll,277028279.18198466
1920.0,ssp585,Nt25,ukesm1-0-ll,267323025.77102232
1921.0,ssp585,Nt25,ukesm1-0-ll,265516703.8363478
1922.0,ssp585,Nt25,ukesm1-0-ll,264100765.7454549
1923.0,ssp585,Nt25,ukesm1-0-ll,263877153.82562885
1924.0,ssp585,Nt25,ukesm1-0-ll,261137222.4198644
1925.0,ssp585,Nt25,ukesm1-0-ll,255257093.08381432
1926.0,ssp585,Nt25,ukesm1-0-ll,252829546.6602768
1927.0,ssp585,Nt25,ukesm1-0-ll,249940510.7809984
1928.0,ssp585,Nt25,ukesm1-0-ll,249208186.9468985
1929.0,ssp585,Nt25,ukesm1-0-ll,253482732.8486439
1930.0,ssp585,Nt25,ukesm1-0-ll,254679415.15857112
1931.0,ssp585,Nt25,ukesm1-0-ll,242600720.4460033
1932.0,ssp585,Nt25,ukesm1-0-ll,242706566.79876024
1933.0,ssp585,Nt25,ukesm1-0-ll,244423757.57828763
1934.0,ssp585,Nt25,ukesm1-0-ll,245487638.43644983
1935.0,ssp585,Nt25,ukesm1-0-ll,244463449.21959412
1936.0,ssp585,Nt25,ukesm1-0-ll,237855524.8533695
1937.0,ssp585,Nt25,ukesm1-0-ll,226779819.9508873
1938.0,ssp585,Nt25,ukesm1-0-ll,231876803.6255633
1939.0,ssp585,Nt25,ukesm1-0-ll,233638612.47177213
1940.0,ssp585,Nt25,ukesm1-0-ll,236305871.8683717
