year,ssp,Nt,GCM,counts
1850.0,picontrol,Nt25,ukesm1-0-ll,
1851.0,picontrol,Nt25,ukesm1-0-ll,
1852.0,picontrol,Nt25,ukesm1-0-ll,
1853.0,picontrol,Nt25,ukesm1-0-ll,
1854.0,picontrol,Nt25,ukesm1-0-ll,
1855.0,picontrol,Nt25,ukesm1-0-ll,
1856.0,picontrol,Nt25,ukesm1-0-ll,
1857.0,picontrol,Nt25,ukesm1-0-ll,
1858.0,picontrol,Nt25,ukesm1-0-ll,
1859.0,picontrol,Nt25,ukesm1-0-ll,
1860.0,picontrol,Nt25,ukesm1-0-ll,
1861.0,picontrol,Nt25,ukesm1-0-ll,
1862.0,picontrol,Nt25,ukesm1-0-ll,
1863.0,picontrol,Nt25,ukesm1-0-ll,
1864.0,picontrol,Nt25,ukesm1-0-ll,
1865.0,picontrol,Nt25,ukesm1-0-ll,
1866.0,picontrol,Nt25,ukesm1-0-ll,
1867.0,picontrol,Nt25,ukesm1-0-ll,
1868.0,picontrol,Nt25,ukesm1-0-ll,
1869.0,picontrol,Nt25,ukesm1-0-ll,
1870.0,picontrol,Nt25,ukesm1-0-ll,
1871.0,picontrol,Nt25,ukesm1-0-ll,
1872.0,picontrol,Nt25,ukesm1-0-ll,
1873.0,picontrol,Nt25,ukesm1-0-ll,
1874.0,picontrol,Nt25,ukesm1-0-ll,
1875.0,picontrol,Nt25,ukesm1-0-ll,
1876.0,picontrol,Nt25,ukesm1-0-ll,
1877.0,picontrol,Nt25,ukesm1-0-ll,
1878.0,picontrol,Nt25,ukesm1-0-ll,
1879.0,picontrol,Nt25,ukesm1-0-ll,
1880.0,picontrol,Nt25,ukesm1-0-ll,
1881.0,picontrol,Nt25,ukesm1-0-ll,
1882.0,picontrol,Nt25,ukesm1-0-ll,
1883.0,picontrol,Nt25,ukesm1-0-ll,
1884.0,picontrol,Nt25,ukesm1-0-ll,
1885.0,picontrol,Nt25,ukesm1-0-ll,
1886.0,picontrol,Nt25,ukesm1-0-ll,
1887.0,picontrol,Nt25,ukesm1-0-ll,
1888.0,picontrol,Nt25,ukesm1-0-ll,
1889.0,picontrol,Nt25,ukesm1-0-ll,
1890.0,picontrol,Nt25,ukesm1-0-ll,
1891.0,picontrol,Nt25,ukesm1-0-ll,
1892.0,picontrol,Nt25,ukesm1-0-ll,
1893.0,picontrol,Nt25,ukesm1-0-ll,
1894.0,picontrol,Nt25,ukesm1-0-ll,
1895.0,picontrol,Nt25,ukesm1-0-ll,
1896.0,picontrol,Nt25,ukesm1-0-ll,
1897.0,picontrol,Nt25,ukesm1-0-ll,
