year,counts
1850.0,222276236.15526062
1851.0,224269363.78230107
1852.0,222772655.66837752
1853.0,223046425.8744827
1854.0,224688317.4537925
1855.0,221616309.20996553
1856.0,219299456.10899633
1857.0,216388089.2240428
1858.0,219930899.59872994
1859.0,218929133.6075917
1860.0,219140946.94534948
1861.0,218133781.12517083
1862.0,214642049.53467023
1863.0,210977632.09346908
1864.0,211260374.45690364
1865.0,211601637.90861648
1866.0,210877473.93402636
1867.0,206496342.86277986
1868.0,208118703.40505052
1869.0,206620869.66446513
1870.0,205291824.44130218
1871.0,202446686.50639552
1872.0,203620850.47294104
1873.0,201882785.3706637
1874.0,200122747.17107707
1875.0,196891325.9148832
1876.0,198646521.56188643
1877.0,198750810.64891028
1878.0,195559705.65935516
1879.0,193711953.1454708
1880.0,189744133.17247558
1881.0,190478540.19594753
1882.0,190576675.1153242
1883.0,188936038.80178294
1884.0,182326473.51410642
1885.0,179609447.54247266
1886.0,181822221.48676905
1887.0,183171038.85668156
1888.0,181770937.17219096
1889.0,180274965.46081692
1890.0,181970229.79637605
1891.0,182759489.08840048
1892.0,181160517.40083057
1893.0,182080792.5945706
1894.0,184284400.50678638
1895.0,186784745.55280524
1896.0,188045713.83506513
1897.0,190585450.01687592
1898.0,190632507.82193434
1899.0,187690779.69108972
1900.0,174497482.8551413
1901.0,175848774.14981857
1902.0,176095176.7007251
1903.0,180566225.35357612
1904.0,180408578.99455732
1905.0,182476501.76528782
1906.0,183023561.35035157
1907.0,188483120.58927622
1908.0,188852079.3251946
1909.0,187971336.4016294
1910.0,189156611.10012498
1911.0,191247580.62743795
1912.0,189207784.8269206
1913.0,187706735.25414136
1914.0,185946924.73048872
1915.0,186098131.68209493
1916.0,187566399.96933308
1917.0,190096300.57509056
1918.0,192321209.5111918
1919.0,193252152.6196335
1920.0,194037632.2580676
1921.0,195931042.16127738
1922.0,196212334.83340997
1923.0,199184288.93387145
1924.0,201135707.11706853
1925.0,201136628.38256612
1926.0,200179827.01315942
1927.0,201284797.1006315
1928.0,204214740.81267416
1929.0,206769267.9174589
1930.0,203040352.6362784
1931.0,200007966.9705937
1932.0,202373254.79698545
1933.0,206211897.2148299
1934.0,206190862.45041385
1935.0,206788782.86064848
1936.0,205215978.1826774
1937.0,206387382.7716527
1938.0,208895502.19742134
1939.0,211380312.10463983
1940.0,211616210.86032042
1941.0,210485629.8120306
1942.0,211877199.06933457
1943.0,211686861.9252339
1944.0,210662218.9571209
1945.0,208844941.23510453
1946.0,210664479.6618018
1947.0,207279538.30375335
1948.0,209880346.9347142
1949.0,212631750.97603673
1950.0,219240818.85581046
1951.0,221338870.82033247
1952.0,221794688.83757907
1953.0,216084925.35660684
1954.0,215728227.62046167
1955.0,220506406.9157319
1956.0,220653615.92315283
1957.0,214554895.20177084
1958.0,211924251.35131
1959.0,211375560.5965437
1960.0,212799248.36690155
1961.0,213155931.76136133
1962.0,217801554.20006803
1963.0,219647044.9893291
1964.0,219446207.28590852
1965.0,222527399.2350714
1966.0,219981696.4888687
1967.0,216897622.7557928
1968.0,212695157.76203656
1969.0,212995673.98215413
1970.0,211012765.13373825
1971.0,209230146.39950496
1972.0,211526638.9715966
1973.0,212091158.71840405
1974.0,212212639.17766088
1975.0,211336744.18750918
1976.0,212156754.03566158
1977.0,209495698.97296914
1978.0,206998232.25360364
1979.0,206234741.79993206
1980.0,212425811.3277634
1981.0,214617587.16377467
1982.0,209763343.326211
1983.0,206078880.81466484
1984.0,208947515.00436985
1985.0,208297328.4155977
1986.0,208492357.25802186
1987.0,206074833.76248056
1988.0,203156976.4140609
1989.0,200422744.98432475
1990.0,198781161.45824784
1991.0,199813314.10775164
1992.0,200203690.0363354
1993.0,204412605.7725178
1994.0,204634321.82432282
1995.0,203679182.7384788
1996.0,204209454.48095274
1997.0,205490460.49169204
1998.0,206801201.25321937
1999.0,204256150.05600423
2000.0,195868309.3619216
2001.0,193383472.04153758
2002.0,193144061.14521164
2003.0,197532405.13952702
2004.0,198148318.6757517
2005.0,192406354.59955364
2006.0,192698184.12200373
2007.0,196313341.74276495
2008.0,195967211.84668636
2009.0,198382700.08443698
2010.0,198531874.396436
2011.0,197335680.5272134
2012.0,193805630.890619
2013.0,192180015.16150102
2014.0,192306298.6338818
2015.0,188873284.32873362
2016.0,191819817.1810174
2017.0,194559907.47725946
2018.0,196059510.01471937
2019.0,201577598.5246409
2020.0,207285098.8260407
2021.0,208332846.25033244
2022.0,205651131.19857836
2023.0,201751545.9724792
2024.0,204525460.86070603
2025.0,206282639.16702998
2026.0,206916873.65527606
2027.0,207371231.60421216
2028.0,208590026.0048623
2029.0,208341187.6584487
2030.0,203824441.71563476
2031.0,200291822.26327473
2032.0,203832736.25373355
2033.0,206472603.6687829
2034.0,208244249.83969367
2035.0,208878298.48492563
2036.0,207519953.97954434
2037.0,210517665.8509224
2038.0,209637381.95818755
2039.0,208121026.2908098
2040.0,211867273.8292286
2041.0,211447424.35087562
2042.0,211775396.24976644
2043.0,208860913.51676303
2044.0,209638457.96417087
2045.0,212818870.6040557
2046.0,207176293.55634105
2047.0,203805986.66689616
2048.0,203461810.49774197
2049.0,205420938.63487333
2050.0,204912354.95710674
