year,counts
1850.0,166779670.59460753
1851.0,167823051.0651
1852.0,163911799.1770435
1853.0,165130844.12648404
1854.0,169015967.3726306
1855.0,171525697.60323858
1856.0,172171342.56181914
1857.0,173313901.600295
1858.0,174280443.01796126
1859.0,175358032.32972574
1860.0,181622472.7746486
1861.0,178488588.05047968
1862.0,176604085.56999555
1863.0,175681751.3092022
1864.0,173535730.41246012
1865.0,174360922.57136023
1866.0,175480334.4956615
1867.0,176212243.07605183
1868.0,175281469.40286377
1869.0,179034258.58546358
1870.0,174130099.90634242
1871.0,164133433.49330825
1872.0,163472192.43234718
1873.0,162912918.6454254
1874.0,163576283.249403
1875.0,163714892.4507083
1876.0,166929891.08378726
1877.0,171111080.033512
1878.0,165567808.24987867
1879.0,165074261.88144207
1880.0,168283993.6020961
1881.0,169583314.11416426
1882.0,175405488.3505311
1883.0,183237127.2728961
1884.0,179051038.58965603
1885.0,179178026.77568334
1886.0,180641181.05194175
1887.0,181266783.90102088
1888.0,183808068.26365495
1889.0,190325218.68963256
1890.0,191326606.0051058
1891.0,186681509.72366092
1892.0,186348749.54289806
1893.0,187534147.74365935
1894.0,187432055.03306583
1895.0,188516942.6562661
1896.0,188234868.03328168
1897.0,193880085.42666978
1898.0,196512466.7299075
1899.0,198988719.90383658
1900.0,198403029.614975
1901.0,197896683.00483805
1902.0,200325524.03954628
1903.0,199331860.87101346
1904.0,203848382.91481486
1905.0,205118112.859059
1906.0,205018148.99138764
1907.0,204190906.01672995
1908.0,201944878.04510754
1909.0,200248099.4823722
1910.0,194331239.23886696
1911.0,194626462.96549335
1912.0,193231553.72925812
1913.0,194691752.12081635
1914.0,205377964.45930347
1915.0,205725974.28452826
1916.0,205461047.2804209
1917.0,207014534.8073979
1918.0,213722407.80026132
1919.0,214234422.28759092
1920.0,211456265.95468056
1921.0,214998164.95129865
1922.0,215251348.1976583
1923.0,215543951.25697255
1924.0,214500128.87778884
1925.0,214046465.82254112
1926.0,211706178.80165786
1927.0,209638080.05588183
1928.0,213011557.17994338
1929.0,217800186.7265185
1930.0,217578170.63848907
1931.0,217284097.7178605
1932.0,216160435.81536615
1933.0,211265998.26064605
1934.0,212713329.02196154
1935.0,214134727.29807824
1936.0,217104391.333857
1937.0,217879459.42660952
1938.0,216663638.8299548
1939.0,211946403.44927672
1940.0,213763730.3083746
1941.0,213749760.35481703
1942.0,216834767.01161557
1943.0,217085056.3960263
1944.0,218705004.61681187
1945.0,218580524.59992802
1946.0,218627667.94330746
1947.0,223222552.9401018
1948.0,222597380.52085954
1949.0,223464077.50595188
1950.0,228661778.67822003
1951.0,229856186.93085298
1952.0,228481623.65882304
1953.0,230968741.7262876
1954.0,224336450.68174887
1955.0,223267537.27830738
1956.0,225775038.4357743
1957.0,229663682.08574343
1958.0,232187986.59156227
1959.0,232353066.1783918
1960.0,232817980.74788874
1961.0,234186447.6973784
1962.0,234708096.94419894
1963.0,231705165.82979232
1964.0,223890428.20739505
1965.0,224577950.95532745
1966.0,224684022.37508345
1967.0,225927950.50209764
1968.0,220433561.36631608
1969.0,222566246.9857557
1970.0,222357809.34445336
1971.0,222829887.42271608
1972.0,231831407.0759085
1973.0,231268883.16493618
1974.0,236137096.12616745
1975.0,242234391.44542813
1976.0,242213265.586483
1977.0,240738202.59084177
1978.0,238279843.98287868
1979.0,235424739.77214012
1980.0,233809694.05871522
1981.0,232756530.7658301
1982.0,232318718.88487458
1983.0,234629211.2140844
1984.0,232862369.7672441
1985.0,236196964.58802336
1986.0,241809983.95753413
1987.0,240957839.03966486
1988.0,243101207.25984937
1989.0,242281196.5119897
1990.0,241763455.38718566
1991.0,242287488.75147644
1992.0,241123509.0284425
1993.0,241562581.10330898
1994.0,244688548.73125
1995.0,244957504.07556164
1996.0,245534506.6024385
1997.0,236748333.0888692
1998.0,239203371.3210901
1999.0,240502728.67193654
2000.0,234620083.8693207
2001.0,238811447.70396706
2002.0,241744788.3386193
2003.0,240783258.4356838
2004.0,241448752.10103238
2005.0,239338248.8052853
2006.0,236801000.87642503
2007.0,235344009.84544283
2008.0,233864532.90826106
2009.0,233568223.5905648
2010.0,233221555.08511117
2011.0,232878622.9431406
2012.0,237654911.5404465
2013.0,240119504.9966883
2014.0,237124877.6817842
2015.0,233987296.2228682
2016.0,230708793.4854057
2017.0,228850775.92059338
2018.0,229671842.31236756
2019.0,226588613.01003522
2020.0,227351342.5073905
2021.0,222255253.9068956
2022.0,210356725.47542667
2023.0,211519517.96522653
2024.0,211160216.5564451
2025.0,203886549.18370795
2026.0,203821870.33670974
2027.0,208206901.3759879
2028.0,212474125.3328355
2029.0,210905963.69894707
2030.0,211686985.4081585
2031.0,213879655.4547362
2032.0,211969848.30832577
2033.0,209193483.26880682
2034.0,212016563.97384423
2035.0,210682607.08825278
2036.0,202242507.09855586
2037.0,201080441.65253592
2038.0,205402650.93675077
2039.0,204084579.97681814
2040.0,201354239.8098368
2041.0,199621240.07227367
2042.0,198844042.57135186
2043.0,196726651.55633754
2044.0,189912499.50164175
2045.0,190085765.92611736
2046.0,196300218.2660322
2047.0,199812633.35095316
2048.0,197515043.71923894
2049.0,197197522.0846371
2050.0,197283847.71209452
