year,counts
1850.0,183202857.20817447
1851.0,178904846.7768098
1852.0,170784562.8363839
1853.0,162491001.18849367
1854.0,162767988.32512307
1855.0,162235014.05813202
1856.0,161118769.9911575
1857.0,159401321.21931478
1858.0,159114032.55588362
1859.0,161061412.84161192
1860.0,160415007.34174913
1861.0,161609987.46665847
1862.0,160799429.38798958
1863.0,159870886.25116444
1864.0,160398957.20362717
1865.0,163055303.1726182
1866.0,165607194.4051385
1867.0,165863093.58024496
1868.0,168130660.19055247
1869.0,170133634.08081672
1870.0,168671156.58038774
1871.0,166449893.1899944
1872.0,175220850.7866655
1873.0,179416808.23448378
1874.0,181446060.12951398
1875.0,182172079.84866232
1876.0,186623209.78390276
1877.0,191284714.76172465
1878.0,190977080.664472
1879.0,200238790.689438
1880.0,204345270.48530576
1881.0,206447166.1776613
1882.0,207579380.05413294
1883.0,208327309.14208966
1884.0,210503662.7113272
1885.0,208807810.89058793
1886.0,212987315.85323715
1887.0,214272623.7449174
1888.0,215866242.23576856
1889.0,218295216.88902625
1890.0,218937558.58733648
1891.0,217479438.87869787
1892.0,215445629.25608408
1893.0,213652769.79256234
1894.0,215223561.25216186
1895.0,217197899.5228778
1896.0,217608117.78029928
1897.0,220396637.47077775
1898.0,219943137.1715301
1899.0,221699243.4686308
1900.0,218737046.70486096
1901.0,218268346.8405367
1902.0,223800871.80227017
1903.0,224378698.81621027
1904.0,223855096.91623175
1905.0,228120494.16205138
1906.0,228605403.42713708
1907.0,227687253.1115439
1908.0,229090308.02100807
1909.0,227395358.98973036
1910.0,227227382.23619807
1911.0,227765670.4729082
1912.0,235480056.04885846
1913.0,242179953.15520716
1914.0,243465764.16142684
1915.0,243041907.79889315
1916.0,241452519.79457355
1917.0,240503002.89157143
1918.0,239445089.8558489
1919.0,238029055.3222112
1920.0,236946498.0378669
1921.0,235356240.76281053
1922.0,228354639.53884614
1923.0,225598838.14700577
1924.0,224933961.41210353
1925.0,226130259.36374888
1926.0,224735205.16019645
1927.0,222288467.04245543
1928.0,223369105.9812981
1929.0,219721479.30447114
1930.0,216004091.81460392
1931.0,216312942.82437843
1932.0,214895127.9190774
1933.0,214780930.39444038
1934.0,211743009.9228298
1935.0,208669807.4340562
1936.0,206488589.01835826
1937.0,202997026.46234196
1938.0,201409912.09075192
1939.0,200068615.3442003
1940.0,199599842.01777542
1941.0,202190263.57374302
1942.0,201892150.80145743
1943.0,202580901.29468122
1944.0,201589188.5908914
1945.0,201922419.88875443
1946.0,208204079.86607784
1947.0,204849888.801031
1948.0,205197262.54985
1949.0,204752578.7074768
1950.0,204622898.47100246
1951.0,204667938.4082705
1952.0,198700371.2344191
1953.0,202297959.2507762
1954.0,200371311.8767985
1955.0,197582038.52163547
1956.0,196536848.7523983
1957.0,197169358.81780025
1958.0,194810909.0962331
1959.0,198497951.57454103
1960.0,200150000.1433189
1961.0,198570222.4245847
1962.0,193199570.963566
1963.0,187008969.63100874
1964.0,184606027.5813105
1965.0,180750285.48866007
1966.0,178615373.99640894
1967.0,178268227.8643794
1968.0,177980275.25471553
1969.0,175004527.8273907
1970.0,175482929.95235133
1971.0,173070543.43523172
1972.0,172023760.23617345
1973.0,173814594.3559534
1974.0,174046135.48147878
1975.0,175203360.71746933
1976.0,174721982.05413514
1977.0,181207246.0690407
1978.0,184322245.40283057
1979.0,180980977.94530717
1980.0,182043536.1710108
1981.0,180627201.38565576
1982.0,186249181.09846038
1983.0,184407905.00902146
1984.0,184883627.54853034
1985.0,183159459.34789664
1986.0,182715347.2485038
1987.0,186212437.1764866
1988.0,192042391.24553156
1989.0,191771223.22654265
1990.0,192781801.40773153
1991.0,187855176.32419682
1992.0,189841804.12695658
1993.0,192838852.7863993
1994.0,198344558.7091593
1995.0,199669983.11687115
1996.0,194241279.50236076
1997.0,193005983.13783494
1998.0,194196350.65154296
1999.0,194997664.9095865
2000.0,196162960.51614994
2001.0,196330669.83892977
2002.0,201305677.72478938
2003.0,200711376.45579046
2004.0,205372167.63300994
2005.0,203306787.35824895
2006.0,203418672.44593632
2007.0,204782840.86110586
2008.0,205845047.23503786
2009.0,204492384.76140445
2010.0,207562370.4418017
2011.0,210239474.21745843
2012.0,211913140.87884605
2013.0,213892378.93276042
2014.0,213585025.32382482
2015.0,213928996.10157126
2016.0,218697940.0031227
2017.0,221013223.8305425
2018.0,220678446.90039575
2019.0,218989590.9936285
2020.0,220258237.6887709
2021.0,223006154.4380561
2022.0,226373244.43384078
2023.0,225445057.64672047
2024.0,227169083.4100772
2025.0,227278691.51534188
2026.0,228982307.17748773
2027.0,223702830.25006312
2028.0,221218962.20306215
2029.0,220468359.1544223
2030.0,224824710.65242597
2031.0,230579186.51434368
2032.0,229686793.27534187
2033.0,235038127.09848315
2034.0,234711737.0708794
2035.0,236178481.8449123
2036.0,234185033.40580875
2037.0,229483761.8308312
2038.0,224646007.06862655
2039.0,226818135.88793278
2040.0,225495948.75163236
2041.0,225987088.83740658
2042.0,226114441.87763244
2043.0,222987109.63115376
2044.0,218556364.071077
2045.0,216922570.68948564
2046.0,218791558.64390397
2047.0,219128859.7103604
2048.0,215886234.64400667
2049.0,214249437.81233868
2050.0,215368615.17799473
