year,counts
1850.0,176722759.66467893
1851.0,181007069.2153423
1852.0,185498167.08138704
1853.0,187636774.14000034
1854.0,191529477.2753711
1855.0,189327127.19307852
1856.0,192088683.86446837
1857.0,195132957.4898848
1858.0,195430285.22136313
1859.0,195718401.36201787
1860.0,196895119.83814427
1861.0,197689996.672533
1862.0,198492446.7609154
1863.0,199186781.49727803
1864.0,200241218.81380475
1865.0,201105761.4674322
1866.0,202829768.5635802
1867.0,208543923.36657622
1868.0,209332102.6253892
1869.0,211668971.6996906
1870.0,212166339.57000738
1871.0,212974956.0814153
1872.0,215603026.11548996
1873.0,206337982.88942897
1874.0,207160401.04680476
1875.0,205559051.5406254
1876.0,203459737.64158788
1877.0,206214281.09881145
1878.0,208620074.9484529
1879.0,205681750.96289253
1880.0,204898089.9354728
1881.0,203092807.11484766
1882.0,207451853.29131
1883.0,209167250.3719465
1884.0,211434891.19858375
1885.0,211510717.41169655
1886.0,216512188.68577123
1887.0,218558312.1000622
1888.0,222748294.14484403
1889.0,223979755.36916158
1890.0,226529594.38556093
1891.0,224474590.67682207
1892.0,225815028.45441562
1893.0,225812925.56705743
1894.0,226323821.4350991
1895.0,224487042.5957472
1896.0,221387623.2358982
1897.0,222905981.66125062
1898.0,219871952.36543417
1899.0,219466328.50793684
1900.0,215971936.87809435
1901.0,211034596.70257384
1902.0,210040546.26106682
1903.0,218467661.4053328
1904.0,214334710.45498386
1905.0,213634419.39127132
1906.0,214024778.13286668
1907.0,222779553.26213044
1908.0,222586800.6446079
1909.0,225858474.95756492
1910.0,225919560.8191954
1911.0,229084526.05791855
1912.0,227307167.7728272
1913.0,230613672.01720577
1914.0,229211551.60916653
1915.0,228314245.8001629
1916.0,228942078.95821658
1917.0,227392321.94372082
1918.0,228412673.80934602
1919.0,226493779.44809747
1920.0,230339093.61120927
1921.0,232658450.82773972
1922.0,233540619.23557913
1923.0,236785272.15333897
1924.0,237399002.22592214
1925.0,237581286.6099718
1926.0,240373550.0238557
1927.0,242717934.10363266
1928.0,242010529.27061442
1929.0,244923213.79205903
1930.0,246692702.8025773
1931.0,251036403.8138618
1932.0,250154408.14236945
1933.0,249365244.02627128
1934.0,249205810.140863
1935.0,248298718.1572483
1936.0,245885412.63695797
1937.0,242372365.8422243
1938.0,235377822.1512409
1939.0,235257870.05353573
1940.0,236976567.37888256
1941.0,240647607.22182596
1942.0,239958214.82016015
1943.0,240310755.98209715
1944.0,239834895.69939137
1945.0,239097587.2404601
1946.0,242123949.65820748
1947.0,242261269.11215004
1948.0,242065705.89541358
1949.0,248489218.29664835
1950.0,249233457.86572558
1951.0,252301186.02810395
1952.0,252355899.5234784
1953.0,245549751.1476876
1954.0,247256805.39786565
1955.0,247300032.67923325
1956.0,247386678.94224188
1957.0,239269748.8154989
1958.0,238452008.93234783
1959.0,234634228.48928425
1960.0,238941966.51535195
1961.0,235228094.49835938
1962.0,235400709.00060952
1963.0,231971477.20892665
1964.0,230613055.159819
1965.0,233131753.03407186
1966.0,232726693.45294142
1967.0,232082492.53550333
1968.0,236152302.98427445
1969.0,240620186.92133838
1970.0,241005960.31265637
1971.0,239102048.48662138
1972.0,236332002.92597932
1973.0,232968618.17095602
1974.0,233009655.5839571
1975.0,231831680.19335186
1976.0,228623156.0408541
1977.0,225816078.27522135
1978.0,224634470.92049974
1979.0,218994503.6082794
1980.0,217447503.55234277
1981.0,217038158.2705633
1982.0,211370618.39044037
1983.0,214578364.3714984
1984.0,218535687.03659183
1985.0,218447201.05359745
1986.0,217598079.83001298
1987.0,220515058.63911712
1988.0,224437975.69596577
1989.0,223748058.02654696
1990.0,222446799.70324606
1991.0,222788686.73796543
1992.0,222291018.91675878
1993.0,222503007.20446315
1994.0,223945156.8731854
1995.0,224048589.8373354
1996.0,222162400.5042914
1997.0,221614027.02845347
1998.0,223234502.43866417
1999.0,215561007.5024461
2000.0,214134275.81034553
2001.0,211652297.08084613
2002.0,208060094.91094354
2003.0,204349224.9803684
2004.0,202945084.43433082
2005.0,205600952.49987006
2006.0,202208397.92512548
2007.0,198445007.29033333
2008.0,198970623.26566112
2009.0,199389788.4201755
2010.0,193694934.53197
2011.0,193523892.93082994
2012.0,194241146.80966893
2013.0,193772692.33375037
2014.0,195378476.9286921
2015.0,192989386.4715994
2016.0,190979708.93408906
2017.0,187363858.70240748
2018.0,181729983.26930195
2019.0,176782865.1168322
2020.0,172209351.84541836
2021.0,171021463.58053255
2022.0,170299627.74902683
2023.0,179458818.7381833
2024.0,178149419.80218816
2025.0,181047003.55661145
2026.0,183522782.2234208
2027.0,181399310.63404676
2028.0,180885342.30096138
2029.0,186708624.2493921
2030.0,187437282.2615146
2031.0,185047530.2478999
2032.0,187183585.63825828
2033.0,183251519.9614051
2034.0,177254565.1408223
2035.0,178014238.13242126
2036.0,176441319.60697496
2037.0,174842687.84004235
2038.0,173726321.44264185
2039.0,173499339.76664877
2040.0,170457098.3867016
2041.0,168428134.3778214
2042.0,168052623.09359816
2043.0,167378409.38544756
2044.0,165673209.15610933
2045.0,168057568.64431414
2046.0,169919088.23164588
2047.0,168713934.03216642
2048.0,169934358.24192828
2049.0,171809501.64086485
2050.0,175896118.87403086
