year,counts
1850.0,184038866.04864302
1851.0,183688237.11047179
1852.0,185496823.49569595
1853.0,194330379.43841064
1854.0,192207028.5652038
1855.0,192074184.57413787
1856.0,191663215.92052293
1857.0,190342103.07948232
1858.0,189974020.6502235
1859.0,188504181.0567523
1860.0,191951493.1622756
1861.0,201559017.45221084
1862.0,202767751.73767817
1863.0,204333832.4819108
1864.0,208475277.30360752
1865.0,210033576.2819904
1866.0,208564659.2436814
1867.0,212477096.35528105
1868.0,215472774.50012144
1869.0,217410218.05685356
1870.0,216487082.6151727
1871.0,213750322.17936462
1872.0,213051671.7286389
1873.0,216842107.27819026
1874.0,226682865.16139236
1875.0,227239961.38450283
1876.0,227034739.07646
1877.0,221162512.313237
1878.0,226122895.90612307
1879.0,222551189.798077
1880.0,221091083.29401132
1881.0,222677331.833125
1882.0,220110545.70434937
1883.0,218154586.16916424
1884.0,216627551.7338217
1885.0,218218243.35193807
1886.0,218235770.49819928
1887.0,209894549.32264227
1888.0,205098430.73606917
1889.0,205836713.11477393
1890.0,205374857.10603258
1891.0,208618141.4621547
1892.0,209739244.56841385
1893.0,205309619.09804472
1894.0,202712055.91275433
1895.0,204215136.8426339
1896.0,203985195.83021125
1897.0,209132590.396227
1898.0,208903144.37232715
1899.0,210690170.72022212
1900.0,211078534.49811918
1901.0,212221049.40859944
1902.0,212259279.29633236
1903.0,208118520.98432174
1904.0,217446838.73527634
1905.0,218196305.5069514
1906.0,217798735.7169691
1907.0,218791954.509682
1908.0,220193999.49444044
1909.0,222296677.79321826
1910.0,218860205.19537967
1911.0,208710691.01163232
1912.0,207932897.6076187
1913.0,206408185.74298695
1914.0,204947648.7506351
1915.0,203261648.22104454
1916.0,199662208.075629
1917.0,195755894.31223673
1918.0,194949081.11897033
1919.0,197143368.8717177
1920.0,196507792.13428736
1921.0,197413530.7400065
1922.0,201188163.67479062
1923.0,199697391.33890587
1924.0,189537750.13619873
1925.0,190621743.31038016
1926.0,194379830.90063804
1927.0,194986519.25554013
1928.0,189479594.7651522
1929.0,186349423.60799408
1930.0,192329905.31777048
1931.0,197113645.72854564
1932.0,202980958.9363698
1933.0,203289017.7861928
1934.0,203658560.83497852
1935.0,205769340.04361963
1936.0,206713226.03953874
1937.0,206842305.79715323
1938.0,207229250.25785923
1939.0,210243208.7481603
1940.0,212773342.83509248
1941.0,209316473.75060046
1942.0,211735635.5716068
1943.0,211925180.66051206
1944.0,212200424.2716625
1945.0,211514912.85991436
1946.0,210230377.27175477
1947.0,206529852.44733542
1948.0,204817350.7320614
1949.0,204091758.25785267
1950.0,202498509.41423106
1951.0,204053799.64064515
1952.0,213310506.05037975
1953.0,208822251.1145823
1954.0,197057533.12882537
1955.0,199384969.44273946
1956.0,201774864.81175348
1957.0,203325456.87430418
1958.0,204522660.2709793
1959.0,203665506.96306685
1960.0,204273424.13965523
1961.0,213597280.00767493
1962.0,211330798.83295578
1963.0,212474965.03814748
1964.0,221268646.4504724
1965.0,220974053.78499314
1966.0,223460982.14228874
1967.0,225362205.03710824
1968.0,228239826.13229352
1969.0,224417522.11977503
1970.0,224825928.34334904
1971.0,222963893.43382013
1972.0,221362053.94347864
1973.0,223029066.48222053
1974.0,222722416.35555106
1975.0,221801771.2405584
1976.0,217694068.66001335
1977.0,215113072.4228279
1978.0,216312398.14486122
1979.0,219266612.34746617
1980.0,225490389.63084802
1981.0,221983438.81764525
1982.0,217469509.28108624
1983.0,221858475.8162063
1984.0,225460139.3955627
1985.0,221428222.99563494
1986.0,220162217.35590214
1987.0,219330281.35698387
1988.0,218528191.5880055
1989.0,216470010.49293858
1990.0,214614663.4280321
1991.0,215660795.10046226
1992.0,213165983.31816083
1993.0,216976817.1238771
1994.0,217163489.06795123
1995.0,219220506.33799618
1996.0,219016900.0923227
1997.0,218925167.66749012
1998.0,218981876.08523422
1999.0,217285689.59784532
2000.0,216995229.11186016
2001.0,217204987.18349087
2002.0,206277987.86528993
2003.0,207420606.64635757
2004.0,207629189.54129785
2005.0,204492408.80131435
2006.0,208572060.04029083
2007.0,208302462.27263108
2008.0,209788736.4749392
2009.0,213016766.90551192
2010.0,216847232.40031147
2011.0,208766748.7235639
2012.0,209885832.9087633
2013.0,222901563.78455904
2014.0,216762288.32454056
2015.0,216899763.49103606
2016.0,218342305.43573433
2017.0,216806702.56431055
2018.0,213035958.32714418
2019.0,211557526.32847354
2020.0,211785106.7338423
2021.0,209426827.0967017
2022.0,206468847.21002766
2023.0,202353925.71567294
2024.0,201199014.21010485
2025.0,202252737.2508571
2026.0,201219158.32562912
2027.0,200567767.8009339
2028.0,200801185.62560147
2029.0,195980404.23402166
2030.0,184879018.77637398
2031.0,188859496.0843679
2032.0,188574307.90571904
2033.0,185879814.7595599
2034.0,183190637.32906386
2035.0,184287119.69752485
2036.0,185736846.06142342
2037.0,186095167.001059
2038.0,188079222.45261073
2039.0,189677936.38463464
2040.0,191668449.0074307
2041.0,190851777.5667756
2042.0,189702331.87355316
2043.0,191700065.0549023
2044.0,187814501.71980214
2045.0,186542367.0761897
2046.0,186477220.50633097
2047.0,188660505.3044025
2048.0,189037137.73624584
2049.0,189163425.0769658
2050.0,189307540.3722657
