year,counts
1850.0,229609259.999694
1851.0,232818162.13140965
1852.0,234938178.98470306
1853.0,239492508.08015355
1854.0,229865760.1700564
1855.0,237649070.50574628
1856.0,242412598.45019627
1857.0,243143229.36441845
1858.0,240914327.39360574
1859.0,242288898.33000785
1860.0,243791279.68127486
1861.0,246376739.99390304
1862.0,250218351.01734707
1863.0,251280375.14527377
1864.0,249354642.36286587
1865.0,248277869.18467137
1866.0,243789082.65971848
1867.0,244924935.00897688
1868.0,247276804.72867298
1869.0,247185384.99230945
1870.0,254436478.95618105
1871.0,258407030.17710263
1872.0,259267255.21261925
1873.0,259132275.28130537
1874.0,264060397.39525557
1875.0,265559981.36761284
1876.0,267727617.47231755
1877.0,262165324.40870932
1878.0,265698968.92339057
1879.0,274129400.44732064
1880.0,276817618.6516893
1881.0,280050174.3364972
1882.0,286758113.58865386
1883.0,298109954.3321929
1884.0,308392949.7148361
1885.0,315672166.56888634
1886.0,319567125.6297083
1887.0,324479529.3803364
1888.0,329036065.70248216
1889.0,334206390.23940307
1890.0,340137111.6884875
1891.0,353475158.33885235
1892.0,362121009.73614407
1893.0,365077775.39424753
1894.0,368413019.5919335
1895.0,375132387.93515384
1896.0,375607451.2251332
1897.0,374477562.332057
1898.0,378733642.2417139
1899.0,385069591.372416
1900.0,384405193.3784875
1901.0,392246331.3917457
1902.0,396376244.4574044
1903.0,397888407.22812927
1904.0,409772448.97924185
1905.0,406535675.45823014
1906.0,402946578.370499
1907.0,401721501.4984537
1908.0,408102995.7591352
1909.0,410203546.26376694
1910.0,415773909.57753223
1911.0,417603437.1975976
1912.0,417141897.574487
1913.0,419512281.27668726
1914.0,425117831.50933945
1915.0,421976983.4061589
1916.0,418683282.557179
1917.0,417881206.58855903
1918.0,417075930.6970501
1919.0,417180702.0596341
1920.0,409496226.6037817
1921.0,405212867.87415475
1922.0,406608893.55527645
1923.0,411437203.6922338
1924.0,410772021.9692706
1925.0,409807685.4371894
1926.0,407584511.17980635
1927.0,409066674.17468894
1928.0,409955745.05146277
1929.0,404215702.5079657
1930.0,400447230.4742052
1931.0,398597844.1278659
1932.0,397006537.49857765
1933.0,396935798.436282
1934.0,385811048.9163416
1935.0,380720071.99965817
1936.0,378170402.0489143
1937.0,372582967.18286014
1938.0,370143248.31199765
1939.0,364171848.13595307
1940.0,364614411.16506433
1941.0,362675101.0192788
1942.0,367304184.7121217
1943.0,362558697.6116801
1944.0,355210422.1544086
1945.0,355562287.7812545
1946.0,362803738.69376135
1947.0,365976846.5894202
1948.0,365132243.72441566
1949.0,363792092.76873755
1950.0,372447419.82031
1951.0,372336168.83336616
1952.0,385749337.10279566
1953.0,396607861.1948409
1954.0,399791153.0602114
1955.0,415934887.9459138
1956.0,430617025.0717679
1957.0,441716728.2773463
1958.0,451002237.87705606
1959.0,466178415.23523337
1960.0,482751193.29519945
1961.0,505305031.00633883
1962.0,518342967.73397183
1963.0,545969021.9702572
1964.0,578826252.0042897
1965.0,606010108.6934662
1966.0,627898446.7308431
1967.0,656443654.3938882
1968.0,700092448.0835888
1969.0,735004661.8018134
1970.0,768967436.033328
1971.0,803943678.8173401
1972.0,845656959.9746864
1973.0,880874921.8871799
1974.0,910922576.1964128
1975.0,939999513.0193775
1976.0,981020129.7022808
1977.0,1017434802.7715721
1978.0,1045551812.5677711
1979.0,1093517900.278433
1980.0,1158198879.3245752
1981.0,1189726647.9409804
1982.0,1226245351.8126025
1983.0,1274077351.5540156
1984.0,1329917756.244201
1985.0,1382148894.136661
1986.0,1432208466.9972136
1987.0,1495584930.5919752
1988.0,1556474092.8210337
1989.0,1613267958.4182472
1990.0,1660829176.3472238
1991.0,1714500305.6015663
1992.0,1765885754.119709
1993.0,1823626664.062317
1994.0,1897768710.9839368
1995.0,1967108194.2808104
1996.0,2045923119.668289
1997.0,2110991798.919387
1998.0,2168684222.3869314
1999.0,2246746355.4061303
2000.0,2331645547.1790843
2001.0,2397823414.066693
2002.0,2461380879.3292646
2003.0,2537682271.679772
2004.0,2614848948.764079
2005.0,2683710848.2909184
2006.0,2766526805.2703805
2007.0,2839463459.9023867
2008.0,2913682074.247924
2009.0,2991550918.936561
2010.0,3071068063.820279
2011.0,3143871820.0650406
2012.0,3219429756.511928
2013.0,3301351914.5641656
2014.0,3362884613.388748
2015.0,3442090096.876336
2016.0,3530925467.587327
2017.0,3609089351.615892
2018.0,3668642702.392398
2019.0,3735271293.5125394
2020.0,3807268972.674494
2021.0,3884373094.9065948
2022.0,3952901873.7658763
2023.0,4026103482.655674
2024.0,4106421800.624934
2025.0,4190865724.478542
2026.0,4263275112.4297976
2027.0,4342769616.958754
2028.0,4426057730.367323
2029.0,4491335230.326117
2030.0,4544635406.010051
2031.0,4628478728.866011
2032.0,4707784183.825552
2033.0,4767020213.067469
2034.0,4837404983.056253
2035.0,4908924881.785845
2036.0,4983322397.563047
2037.0,5042150709.349775
2038.0,5105254261.368015
2039.0,5173653937.264278
2040.0,5249996106.413342
2041.0,5313726557.74287
2042.0,5382629901.999357
2043.0,5455434580.067112
2044.0,5511256150.038738
2045.0,5563729618.222407
2046.0,5602960352.749154
2047.0,5665578498.61978
2048.0,5727127957.064667
2049.0,5772097355.652836
2050.0,5810482865.8266945
