year,counts
1850.0,224524055.44278818
1851.0,224414957.20562246
1852.0,223717530.81580353
1853.0,217223999.5924675
1854.0,212787420.62768734
1855.0,212473740.9698761
1856.0,209263586.06094843
1857.0,209047156.06137428
1858.0,206674224.99748734
1859.0,207014378.9731393
1860.0,206654165.1165622
1861.0,206994762.92226258
1862.0,206290413.71676168
1863.0,211718467.90126425
1864.0,212460761.36515027
1865.0,212511560.56065166
1866.0,218734190.8072416
1867.0,225483730.9783945
1868.0,227416274.29922652
1869.0,229727825.7009778
1870.0,230960268.76934242
1871.0,234484453.12158477
1872.0,230341606.16544804
1873.0,226418804.68894404
1874.0,220297938.3298079
1875.0,220044748.57134742
1876.0,221292419.27613997
1877.0,222107807.28812256
1878.0,220235970.1367444
1879.0,220135750.8700011
1880.0,229765647.4128518
1881.0,229671762.86955568
1882.0,225689862.4016606
1883.0,226349616.59556222
1884.0,238688823.90470353
1885.0,252863287.8655417
1886.0,256329942.57054752
1887.0,257696264.56826127
1888.0,261317641.49332738
1889.0,262807629.09283805
1890.0,264272608.7264284
1891.0,264304449.95660487
1892.0,271214716.2249024
1893.0,283137497.0523629
1894.0,292048982.2058044
1895.0,293164101.6675932
1896.0,299984368.4580473
1897.0,307131716.76825255
1898.0,307186736.07181144
1899.0,310875631.84347516
1900.0,313570192.9959862
1901.0,315105541.23465973
1902.0,318180006.34425294
1903.0,333591791.5672934
1904.0,342408823.95784014
1905.0,347353929.44671
1906.0,351562126.8190923
1907.0,357553224.6999976
1908.0,371488719.61708784
1909.0,383885204.1108594
1910.0,386131810.001889
1911.0,395579969.28610796
1912.0,402179544.02662975
1913.0,420515445.6335277
1914.0,427080379.0852302
1915.0,431256957.73574615
1916.0,430199769.9966828
1917.0,420938209.8707473
1918.0,428561810.35538673
1919.0,434095014.10988617
1920.0,442755790.57283735
1921.0,438987091.25501513
1922.0,442037233.43243474
1923.0,454526885.8879552
1924.0,478520842.99153244
1925.0,484723695.8499645
1926.0,489772648.7784003
1927.0,500634786.8511491
1928.0,506740706.9731732
1929.0,512211689.54283994
1930.0,512621415.4770219
1931.0,530026851.69086623
1932.0,546341714.7295651
1933.0,551477283.2586973
1934.0,542760427.4763467
1935.0,535803995.6485089
1936.0,538598682.2006415
1937.0,545718895.8003391
1938.0,560544289.1617085
1939.0,594601120.6438385
1940.0,633700107.8529894
1941.0,649877923.405868
1942.0,650278293.5212772
1943.0,641639934.3211128
1944.0,648438886.4037158
1945.0,665564460.8109714
1946.0,678365898.3347082
1947.0,696218288.3276927
1948.0,722076064.9302855
1949.0,738831105.5463169
1950.0,761485353.028367
1951.0,799337218.5442568
1952.0,821242956.2341273
1953.0,824582258.873493
1954.0,837578756.1083759
1955.0,855400745.5004752
1956.0,894063251.5639546
1957.0,920561954.7867677
1958.0,933127632.6760211
1959.0,942154599.6187215
1960.0,979987141.23948
1961.0,1028421214.0514798
1962.0,1058136744.5345473
1963.0,1077393842.8048065
1964.0,1117132062.2568035
1965.0,1148968039.70178
1966.0,1173364266.0565097
1967.0,1226411893.4367237
1968.0,1276225081.2672012
1969.0,1305023165.1331449
1970.0,1340623685.7242017
1971.0,1380126951.5487585
1972.0,1437427860.2111933
1973.0,1470575253.99712
1974.0,1495322029.9216185
1975.0,1531093806.4609425
1976.0,1583720213.3040361
1977.0,1618933077.5530093
1978.0,1668485328.2794263
1979.0,1723984959.2016628
1980.0,1791107439.2776551
1981.0,1848502800.7816343
1982.0,1890421120.2876284
1983.0,1937285511.7588563
1984.0,1994653373.1878567
1985.0,2051168206.0306427
1986.0,2104199984.3282652
1987.0,2159765425.7837734
1988.0,2205220337.387159
1989.0,2251085689.638736
1990.0,2291611775.7078094
1991.0,2351389295.463436
1992.0,2420631774.4278164
1993.0,2502357473.4411793
1994.0,2579665465.4064054
1995.0,2658531178.1158204
1996.0,2728590356.3708234
1997.0,2784454281.1529045
1998.0,2849746269.9522486
1999.0,2931787874.2139835
2000.0,3003223892.4613786
2001.0,3058611602.6165476
2002.0,3129513125.6614513
2003.0,3215040504.374545
2004.0,3298817489.524278
2005.0,3376959178.4276752
2006.0,3441221134.8584332
2007.0,3517656228.6940603
2008.0,3599522169.2455564
2009.0,3695130713.945387
2010.0,3766048855.4429054
2011.0,3821006968.574688
2012.0,3897385597.1855946
2013.0,3972668659.865369
2014.0,4041778885.7736044
2015.0,4122794846.7435665
2016.0,4206468534.8123426
2017.0,4271975589.8937626
2018.0,4335047488.7812195
2019.0,4426569535.203184
2020.0,4505201940.792995
2021.0,4590785553.564304
2022.0,4659140638.906846
2023.0,4740285667.866747
2024.0,4822509411.090725
2025.0,4908514517.219123
2026.0,4978501799.308204
2027.0,5061014098.304953
2028.0,5135320119.367362
2029.0,5209444895.519315
2030.0,5267716017.258423
2031.0,5328942857.331002
2032.0,5411203099.9676
2033.0,5493330406.061859
2034.0,5574330278.670622
2035.0,5651023548.379001
2036.0,5733305611.081007
2037.0,5811644036.834793
2038.0,5890521488.726135
2039.0,5948171373.977776
2040.0,6008596392.657047
2041.0,6074817482.711553
2042.0,6140330762.513384
2043.0,6196483197.76881
2044.0,6245670119.707939
2045.0,6290838881.328409
2046.0,6340811715.422182
2047.0,6402313508.013221
2048.0,6452404908.025398
2049.0,6492475887.99947
2050.0,6536708574.691497
