year,counts
1850.0,210148602.861746
1851.0,209539647.27324218
1852.0,212078856.98356742
1853.0,206577242.53293243
1854.0,193492430.63133603
1855.0,191278013.02264857
1856.0,192008890.1015009
1857.0,194519524.31587237
1858.0,194545115.74383253
1859.0,193402690.3177241
1860.0,199008312.8813579
1861.0,199895043.87631702
1862.0,200673078.2571689
1863.0,199331003.86622342
1864.0,202293572.6881036
1865.0,204392235.05588025
1866.0,203673991.82253522
1867.0,204338242.30134785
1868.0,202951475.94248664
1869.0,204574191.49232566
1870.0,203832181.39658046
1871.0,206036546.0147693
1872.0,207232196.31784523
1873.0,208649839.0104818
1874.0,205341840.64639637
1875.0,205161398.47314835
1876.0,206736840.2747883
1877.0,209832974.44050947
1878.0,212665023.02674586
1879.0,216511977.58954763
1880.0,221542559.89903054
1881.0,220640631.67251348
1882.0,219900388.92296264
1883.0,222444811.16625232
1884.0,219170578.20316994
1885.0,232271568.58319664
1886.0,237827844.1027729
1887.0,256363863.5383013
1888.0,265993929.41747048
1889.0,270608617.2688446
1890.0,271532975.715492
1891.0,271514088.6784165
1892.0,270470274.1772292
1893.0,274300209.19172275
1894.0,283180642.69610023
1895.0,291072377.6729287
1896.0,294043001.19654435
1897.0,295631752.5246906
1898.0,296333030.8912204
1899.0,306138987.322891
1900.0,311270918.9883673
1901.0,316740510.4352885
1902.0,322616450.1428534
1903.0,329765617.03290504
1904.0,337178556.16623247
1905.0,340285714.3558205
1906.0,339556815.3029235
1907.0,340865090.6155534
1908.0,343071089.0250939
1909.0,343466630.91015935
1910.0,343090359.13607675
1911.0,346057056.67351776
1912.0,355043990.11259496
1913.0,358828479.7268124
1914.0,359847861.83493716
1915.0,363358762.65360177
1916.0,374854029.3671924
1917.0,383336998.4328514
1918.0,382923155.17243254
1919.0,384248858.6840862
1920.0,386124251.4032084
1921.0,391943329.81083655
1922.0,399707392.4967101
1923.0,405436665.0535162
1924.0,408839299.5494696
1925.0,410997562.7022594
1926.0,409058959.23050654
1927.0,409062717.0998275
1928.0,409280568.6651871
1929.0,409799733.959358
1930.0,407719406.84338486
1931.0,427038779.4140979
1932.0,430178195.1786747
1933.0,432055287.06220984
1934.0,431463640.33322
1935.0,423503382.27950066
1936.0,424641379.7249105
1937.0,418495306.49856937
1938.0,428607717.72553366
1939.0,436071007.36240757
1940.0,446147378.23982745
1941.0,450163725.2362807
1942.0,456952601.1138834
1943.0,452016681.5399822
1944.0,445694477.77618635
1945.0,452849507.0621339
1946.0,468248161.4186086
1947.0,479937333.12480056
1948.0,485149404.1841665
1949.0,486391934.7171642
1950.0,493067880.5488021
1951.0,504070194.9907397
1952.0,516218533.27703786
1953.0,528820191.70580876
1954.0,544571069.4245076
1955.0,558189585.1945915
1956.0,574207624.648843
1957.0,589405544.2829453
1958.0,596557551.5877514
1959.0,610918744.0275868
1960.0,631547294.4606519
1961.0,644788713.458878
1962.0,656736829.3607025
1963.0,682006615.9072571
1964.0,709020945.4746974
1965.0,736825490.5744851
1966.0,751823644.1126688
1967.0,774932624.0386338
1968.0,801042560.369041
1969.0,825157122.2625654
1970.0,866313718.0106329
1971.0,892112269.1994094
1972.0,908547386.3485916
1973.0,942049918.2757891
1974.0,976760991.2475088
1975.0,1019230212.1069753
1976.0,1055596995.6941365
1977.0,1095602938.7003975
1978.0,1131118483.1445634
1979.0,1165604010.2798126
1980.0,1210556235.8017325
1981.0,1244194510.299111
1982.0,1298451105.742957
1983.0,1343305685.1643047
1984.0,1385978498.2888358
1985.0,1433629152.333725
1986.0,1487674321.1591392
1987.0,1526010661.486503
1988.0,1558567731.533535
1989.0,1604478365.1687915
1990.0,1647493857.3511667
1991.0,1695244907.0480785
1992.0,1741466383.1867003
1993.0,1800723027.519394
1994.0,1872310885.1573615
1995.0,1929913564.9098313
1996.0,1976877148.1262066
1997.0,2030600446.94665
1998.0,2085463457.2089496
1999.0,2150186525.6365466
2000.0,2220152609.832077
2001.0,2273264027.8825116
2002.0,2329691410.486356
2003.0,2383053593.6395035
2004.0,2442766283.1896286
2005.0,2513235009.66646
2006.0,2583848617.1656685
2007.0,2652964160.204642
2008.0,2724039065.263067
2009.0,2796760614.67616
2010.0,2851816523.863776
2011.0,2916869971.940717
2012.0,2986202529.9877777
2013.0,3054094141.3454533
2014.0,3127609433.9148664
2015.0,3191758522.5871086
2016.0,3264249113.377
2017.0,3327447594.417192
2018.0,3401977662.569949
2019.0,3480621086.181946
2020.0,3541339433.29611
2021.0,3613350061.3692083
2022.0,3684139681.6292777
2023.0,3746384342.1659408
2024.0,3811047952.0388885
2025.0,3873772882.9202094
2026.0,3943548502.725401
2027.0,4008314317.850605
2028.0,4074535228.7864842
2029.0,4140583056.6063824
2030.0,4203103123.7235227
2031.0,4268308773.4968176
2032.0,4323979126.826951
2033.0,4389631199.313453
2034.0,4468475070.138392
2035.0,4535629912.179677
2036.0,4596811930.93173
2037.0,4666462287.687943
2038.0,4737952642.98311
2039.0,4799859964.968857
2040.0,4866948065.125593
2041.0,4936724583.726233
2042.0,5013651700.322356
2043.0,5080589605.710745
2044.0,5136156875.819073
2045.0,5194528631.285725
2046.0,5259212989.851404
2047.0,5323413416.878123
2048.0,5394048391.638866
2049.0,5447930287.610724
2050.0,5497538030.005203
